DATE,VALUE
1960-01-01,1966957.0
1961-01-01,2001048.0
1962-01-01,2037165.0
1963-01-01,2075630.0
1964-01-01,2116832.0
1965-01-01,2161103.0
1966-01-01,2208422.0
1967-01-01,2258877.0
1968-01-01,2313017.0
1969-01-01,2371515.0
1970-01-01,2434755.0
1971-01-01,2503074.0
1972-01-01,2576093.0
1973-01-01,2652586.0
1974-01-01,2730859.0
1975-01-01,2809692.0
1976-01-01,2888509.0
1977-01-01,2967620.0
1978-01-01,3047769.0
1979-01-01,3130125.0
1980-01-01,3215483.0
1981-01-01,3304188.0
1982-01-01,3395798.0
1983-01-01,3489402.0
1984-01-01,3583707.0
1985-01-01,3677854.0
1986-01-01,3771578.0
1987-01-01,3865402.0
1988-01-01,3960243.0
1989-01-01,4057406.0
1990-01-01,4157903.0
1991-01-01,4261933.0
1992-01-01,4369407.0
1993-01-01,4480689.0
1994-01-01,4596131.0
1995-01-01,4715929.0
1996-01-01,4840311.0
1997-01-01,4969116.0
1998-01-01,5101633.0
1999-01-01,5236863.0
2000-01-01,5374051.0
2001-01-01,5512835.0
2002-01-01,5653284.0
2003-01-01,5795571.0
2004-01-01,5940048.0
2005-01-01,6086905.0
2006-01-01,6236158.0
2007-01-01,6387470.0
2008-01-01,6540267.0
2009-01-01,6693799.0
2010-01-01,6847517.0
2011-01-01,7001172.0
2012-01-01,7154870.0
2013-01-01,7308864.0
2014-01-01,7463577.0
2015-01-01,7619321.0
