DATE,VALUE
1950-01-01,45.816
1951-01-01,46.901
1952-01-01,47.961
1953-01-01,48.976
1954-01-01,49.967
1955-01-01,51.046
1956-01-01,52.191
1957-01-01,53.138
1958-01-01,53.788
1959-01-01,54.149
1960-01-01,54.5
1961-01-01,55.65
1962-01-01,56.825
1963-01-01,58.025
1964-01-01,58.65
1965-01-01,59.29
1966-01-01,60.545
1967-01-01,61.825
1968-01-01,63.135
1969-01-01,64.475
1970-01-01,65.624
1971-01-01,66.354
1972-01-01,67.016
1973-01-01,67.532
1974-01-01,67.836
1975-01-01,68.041
1976-01-01,68.361
1977-01-01,68.637
1978-01-01,68.608
1979-01-01,68.519
1980-01-01,68.546
1981-01-01,68.264
1982-01-01,68.008
1983-01-01,65.62
1984-01-01,64.47
1985-01-01,64.398
1986-01-01,64.402
1987-01-01,64.418
1988-01-01,64.427
1989-01-01,64.385
1990-01-01,64.162
1991-01-01,64.025
1992-01-01,65.181
1993-01-01,66.331
1994-01-01,67.485
1995-01-01,68.71
1996-01-01,70.055
1997-01-01,71.453
1998-01-01,72.781
1999-01-01,74.016
2000-01-01,75.351
2001-01-01,76.734
2002-01-01,77.935
2003-01-01,79.066
2004-01-01,80.193
2005-01-01,81.277
2006-01-01,82.343
2007-01-01,83.425
2008-01-01,84.522
2009-01-01,85.632
2010-01-01,86.754
