DATE,VALUE
1950-01-01,146.403
1951-01-01,150.651
1952-01-01,155.037
1953-01-01,159.567
1954-01-01,164.262
1955-01-01,169.146
1956-01-01,174.228
1957-01-01,179.516
1958-01-01,185.02
1959-01-01,190.769
1960-01-01,196.768
1961-01-01,203.146
1962-01-01,209.878
1963-01-01,216.919
1964-01-01,224.264
1965-01-01,231.719
1966-01-01,239.23
1967-01-01,246.787
1968-01-01,254.303
1969-01-01,261.602
1970-01-01,268.867
1971-01-01,273.418
1972-01-01,275.467
1973-01-01,277.331
1974-01-01,278.769
1975-01-01,280.45
1976-01-01,282.747
1977-01-01,285.964
1978-01-01,289.17
1979-01-01,292.635
1980-01-01,296.446
1981-01-01,300.202
1982-01-01,304.089
1983-01-01,308.196
1984-01-01,312.486
1985-01-01,316.887
1986-01-01,321.341
1987-01-01,325.869
1988-01-01,330.5
1989-01-01,335.166
1990-01-01,339.756
1991-01-01,346.826
1992-01-01,356.492
1993-01-01,366.241
1994-01-01,375.918
1995-01-01,385.425
1996-01-01,394.798
1997-01-01,404.001
1998-01-01,412.972
1999-01-01,421.678
2000-01-01,430.132
2001-01-01,438.454
2002-01-01,446.704
2003-01-01,454.825
2004-01-01,462.795
2005-01-01,470.597
2006-01-01,478.309
2007-01-01,485.994
2008-01-01,493.619
2009-01-01,501.182
2010-01-01,508.659
