DATE,VALUE
1950-01-01,311.973
1951-01-01,312.646
1952-01-01,316.619
1953-01-01,317.248
1954-01-01,319.787
1955-01-01,314.369
1956-01-01,314.066
1957-01-01,318.779
1958-01-01,321.94
1959-01-01,324.842
1960-01-01,328.517
1961-01-01,328.854
1962-01-01,329.011
1963-01-01,328.116
1964-01-01,323.591
1965-01-01,319.164
1966-01-01,317.482
1967-01-01,318.573
1968-01-01,319.254
1969-01-01,322.749
1970-01-01,325.569
1971-01-01,325.468
1972-01-01,319.43
1973-01-01,321.838
1974-01-01,323.524
1975-01-01,327.842
1976-01-01,329.354
1977-01-01,332.066
1978-01-01,339.786
1979-01-01,346.876
1980-01-01,364.001
1981-01-01,363.652
1982-01-01,360.222
1983-01-01,355.773
1984-01-01,351.379
1985-01-01,347.039
1986-01-01,346.625
1987-01-01,349.047
1988-01-01,351.951
1989-01-01,355.323
1990-01-01,359.107
1991-01-01,362.579
1992-01-01,365.897
1993-01-01,370.008
1994-01-01,373.606
1995-01-01,376.893
1996-01-01,379.962
1997-01-01,382.953
1998-01-01,385.608
1999-01-01,387.799
2000-01-01,389.947
2001-01-01,391.873
2002-01-01,393.515
2003-01-01,395.178
2004-01-01,396.851
2005-01-01,398.534
2006-01-01,400.214
2007-01-01,401.88
2008-01-01,403.532
2009-01-01,405.165
2010-01-01,406.771
