DATE,VALUE
1951-01-01,1.513657535
1952-01-01,1.5541906345
1953-01-01,1.5956886405
1954-01-01,1.6381695341
1955-01-01,1.6816534399
1956-01-01,1.7248315478
1957-01-01,1.7689837314
1958-01-01,1.8141286863
1959-01-01,1.8602836791
1960-01-01,1.9074695488
1961-01-01,1.9569118684
1962-01-01,2.0076359669
1963-01-01,2.0596735194
1964-01-01,2.1130616792
1965-01-01,2.1678321214
1966-01-01,2.225892272
1967-01-01,2.2855066569
1968-01-01,2.3467171921
1969-01-01,2.4095679375
1970-01-01,2.474102
1971-01-01,2.535355
1972-01-01,2.596741
1973-01-01,2.659084
1974-01-01,2.723523
1975-01-01,2.790964
1976-01-01,2.861582
1977-01-01,2.935375
1978-01-01,3.012833
1979-01-01,3.094479
1980-01-01,3.180628
1981-01-01,3.271454
1982-01-01,3.366726
1983-01-01,3.465796
1984-01-01,3.56775
1985-01-01,3.671826
1986-01-01,3.777764
1987-01-01,3.885433
1988-01-01,3.994328
1989-01-01,4.103909
1990-01-01,4.21374
1991-01-01,4.323402
1992-01-01,4.432738
1993-01-01,4.541902
1994-01-01,4.651222
1995-01-01,4.760853
1996-01-01,4.870695
1997-01-01,4.980346
1998-01-01,5.089306
1999-01-01,5.196935
2000-01-01,5.302703
2001-01-01,5.406625
2002-01-01,5.508615
2003-01-01,5.607948
2004-01-01,5.703742
2005-01-01,5.795493
2006-01-01,5.882797
2007-01-01,5.96616
2008-01-01,6.047131
2009-01-01,6.127847
2010-01-01,6.209877
2011-01-01,6.293763
2012-01-01,6.379162
2013-01-01,6.465669
2014-01-01,6.552518
