DATE,VALUE
1953-01-01,227.6698889
1954-01-01,234.7898716
1955-01-01,253.42353
1956-01-01,258.1652502
1957-01-01,285.1581155
1958-01-01,295.5146212
1959-01-01,296.6874303
1960-01-01,291.0782699
1961-01-01,297.7315869
1962-01-01,295.3659428
1963-01-01,324.0718842
1964-01-01,347.8517618
1965-01-01,363.1610059
1966-01-01,407.9658004
1967-01-01,433.8472026
1968-01-01,489.3058661
1969-01-01,578.5568576
1970-01-01,653.6131298
1971-01-01,739.0755855
1972-01-01,816.0480751
1973-01-01,961.7593174
1974-01-01,1083.5102
1975-01-01,1231.483935
1976-01-01,1505.772014
1977-01-01,1785.751362
1978-01-01,2103.982226
1979-01-01,2446.144126
1980-01-01,2487.979577
1981-01-01,2864.863417
1982-01-01,3273.484313
1983-01-01,3758.605318
1984-01-01,4269.420996
1985-01-01,4681.949194
1986-01-01,5451.017364
1987-01-01,6347.883061
1988-01-01,7321.156371
1989-01-01,8150.132468
1990-01-01,9223.458087
1991-01-01,10296.25733
1992-01-01,10914.26031
1993-01-01,11774.33087
1994-01-01,12915.74607
1995-01-01,14222.91019
1996-01-01,15188.50861
1997-01-01,15659.46054
1998-01-01,14560.33592
1999-01-01,15945.28199
2000-01-01,17207.62616
2001-01-01,17880.82303
2002-01-01,19380.45193
2003-01-01,20118.18013
2004-01-01,21396.63421
2005-01-01,22577.33468
2006-01-01,24115.32247
2007-01-01,25933.94997
2008-01-01,26421.06428
2009-01-01,26740.20647
2010-01-01,28768.22326
