DATE,VALUE
1987-01-01,7943.104897
1988-01-01,8535.053802
1989-01-01,9075.714418
1990-01-01,9255.246465
1991-01-01,7412.071604
1992-01-01,6877.675971
1993-01-01,7580.069925
1994-01-01,7996.356249
1995-01-01,8597.632227
1996-01-01,9023.387192
1997-01-01,9848.745579
1998-01-01,10265.18804
1999-01-01,10381.51531
2000-01-01,10934.27185
2001-01-01,11448.83025
2002-01-01,12210.0504
2003-01-01,13077.84121
2004-01-01,13990.7428
2005-01-01,15375.88336
2006-01-01,16986.01885
2007-01-01,19142.35939
2008-01-01,20742.76242
2009-01-01,19967.87358
2010-01-01,20804.77129
