DATE,VALUE
1950-01-01,4485.256553
1951-01-01,4728.886668
1952-01-01,5096.420478
1953-01-01,5559.809736
1954-01-01,6249.981367
1955-01-01,6581.400686
1956-01-01,6940.180937
1957-01-01,7169.961764
1958-01-01,7281.164476
1959-01-01,7830.873447
1960-01-01,8389.154414
1961-01-01,9018.008683
1962-01-01,9577.841059
1963-01-01,10001.16056
1964-01-01,11137.49217
1965-01-01,11272.89954
1966-01-01,12271.70122
1967-01-01,12993.85016
1968-01-01,14327.64591
1969-01-01,16069.05678
1970-01-01,18450.80304
1971-01-01,20530.41195
1972-01-01,22928.12764
1973-01-01,25930.37198
1974-01-01,30168.93838
1975-01-01,33213.5228
1976-01-01,38023.47447
1977-01-01,43354.22006
1978-01-01,49864.83756
1979-01-01,56236.02823
1980-01-01,64988.65635
1981-01-01,72800.27413
1982-01-01,78412.40627
1983-01-01,81725.67602
1984-01-01,86856.62643
1985-01-01,90070.48006
1986-01-01,98195.1884
1987-01-01,104063.279
1988-01-01,112417.2002
1989-01-01,119325.6105
1990-01-01,128292.6505
1991-01-01,134267.3198
1992-01-01,145613.0666
1993-01-01,158440.9392
1994-01-01,171964.39
1995-01-01,185015.4389
1996-01-01,188234.0436
1997-01-01,195988.4261
1998-01-01,193924.2136
1999-01-01,184224.4549
2000-01-01,195758.0698
2001-01-01,201233.2358
2002-01-01,209920.5182
2003-01-01,223997.3095
2004-01-01,244936.002
2005-01-01,269296.8196
2006-01-01,299657.7218
2007-01-01,333697.3107
2008-01-01,366108.561
2009-01-01,371206.3305
2010-01-01,396760.8241
