DATE,VALUE
1960-01-01,190.8329446
1961-01-01,210.5717974
1962-01-01,214.5847159
1963-01-01,233.3494827
1964-01-01,264.9395817
1965-01-01,300.2378488
1966-01-01,355.0037592
1967-01-01,387.5309052
1968-01-01,426.4503353
1969-01-01,487.8610146
1970-01-01,531.2338654
1971-01-01,586.5307131
1972-01-01,621.4189961
1973-01-01,640.8719448
1974-01-01,918.1779183
1975-01-01,822.4347658
1976-01-01,876.2483647
1977-01-01,1082.812299
1978-01-01,1236.632133
1979-01-01,1357.79345
1980-01-01,1503.634792
1981-01-01,1506.321853
1982-01-01,1643.408177
1983-01-01,1622.899349
1984-01-01,1757.937631
1985-01-01,1832.463877
1986-01-01,1946.000904
1987-01-01,1794.571449
1988-01-01,2053.561814
1989-01-01,2210.052387
1990-01-01,2480.663878
1991-01-01,2569.273182
1992-01-01,2522.71998
1993-01-01,2161.389719
1994-01-01,2500.441546
1995-01-01,2727.469419
1996-01-01,2966.736305
1997-01-01,3339.875907
1998-01-01,3068.57661
1999-01-01,3331.501841
2000-01-01,3330.935317
2001-01-01,3446.633134
2002-01-01,3728.808091
2003-01-01,3806.625388
2004-01-01,3967.289245
2005-01-01,4145.474318
2006-01-01,4775.844089
2007-01-01,5281.884471
2008-01-01,5045.410704
2009-01-01,5590.669158
2010-01-01,5715.989499
