DATE,VALUE
1960-01-01,222.6723671
1961-01-01,242.3645717
1962-01-01,244.6246438
1963-01-01,239.770316
1964-01-01,237.1954015
1965-01-01,256.5866539
1966-01-01,247.3446816
1967-01-01,244.0915381
1968-01-01,244.8076665
1969-01-01,229.9408215
1970-01-01,221.0841703
1971-01-01,202.3718795
1972-01-01,198.7267422
1973-01-01,215.1100521
1974-01-01,244.7830883
1975-01-01,232.7877807
1976-01-01,262.4944528
1977-01-01,319.9806641
1978-01-01,313.895281
1979-01-01,304.8659397
1980-01-01,336.820831
1981-01-01,318.1970832
1982-01-01,303.9056876
1983-01-01,291.1815602
1984-01-01,318.2642886
1985-01-01,309.9047816
1986-01-01,294.0556053
1987-01-01,290.7170952
1988-01-01,283.8510279
1989-01-01,286.9897765
1990-01-01,282.8144837
1991-01-01,264.7181804
1992-01-01,248.6796495
1993-01-01,241.4434174
1994-01-01,333.2110247
1995-01-01,364.9984993
1996-01-01,380.1369571
1997-01-01,397.6025095
1998-01-01,407.7717229
1999-01-01,416.7872284
2000-01-01,446.8614071
2001-01-01,357.7283261
2002-01-01,368.6313526
2003-01-01,358.7975523
2004-01-01,352.7527378
2005-01-01,351.1116097
2006-01-01,370.2948982
2007-01-01,350.1789549
2008-01-01,360.4890081
2009-01-01,371.2435824
2010-01-01,370.777078
