DATE,VALUE
1955-01-01,14.3808612068
1956-01-01,15.617699124
1957-01-01,16.5191233688
1958-01-01,17.8398147041
1959-01-01,19.7474799662
1960-01-01,20.889982788
1961-01-01,22.5670511503
1962-01-01,22.7766846956
1963-01-01,23.6361822313
1964-01-01,25.6696276206
1965-01-01,26.9798372787
1966-01-01,28.300528614
1967-01-01,27.8393348143
1968-01-01,29.5164031767
1969-01-01,31.8661912625
1970-01-01,33.8608675886
1971-01-01,36.5171374799
1972-01-01,41.2452696132
1973-01-01,46.1164642868
1974-01-01,47.3966761088
1975-01-01,45.0678102126
1976-01-01,46.5951300586
1977-01-01,52.7123259467
1978-01-01,56.3312992951
1979-01-01,60.3755020121
1980-01-01,63.6320125611
1981-01-01,65.0883202873
1982-01-01,70.1242101545
1983-01-01,72.6119588203
1984-01-01,74.4269134474
1985-01-01,74.9222381924
1986-01-01,80.356643156
1987-01-01,83.9142304127
1988-01-01,87.0884623561
1989-01-01,92.9561712081
1990-01-01,101.326303669
1991-01-01,101.350029242
1992-01-01,98.9749744996
1993-01-01,94.2030125123
1994-01-01,94.0380479514
1995-01-01,98.4261052718
1996-01-01,103.607721143
1997-01-01,106.272317912
1998-01-01,112.290207231
1999-01-01,115.709089854
2000-01-01,116.242009208
2001-01-01,119.894250018
2002-01-01,118.612015925
2003-01-01,117.381469417
2004-01-01,112.504524068
2005-01-01,108.57706164
2006-01-01,111.889250814
2007-01-01,111.844010134
2008-01-01,107.319942092
2009-01-01,98.3622873688
2010-01-01,100.0
2011-01-01,99.0483254027
2012-01-01,93.0057750481
2013-01-01,93.3841115343
2014-01-01,94.3757864649
