DATE,VALUE
2013-07-01,2024886.0
2013-08-01,2127647.0
2013-09-01,2207385.0
2013-10-01,2301847.0
2013-11-01,2385767.0
2013-12-01,2409535.0
2014-01-01,2414965.0
2014-02-01,2509021.0
2014-03-01,2536902.0
2014-04-01,2572354.0
2014-05-01,2544306.0
2014-06-01,2578997.0
2014-07-01,2611164.0
2014-08-01,2691520.0
2014-09-01,2669445.0
2014-10-01,2612408.0
2014-11-01,2424740.0
2014-12-01,2515848.0
2015-01-01,2584437.0
2015-02-01,2399015.0
2015-03-01,2574726.0
2015-04-01,2597465.0
2015-05-01,2483111.0
2015-06-01,2456776.0
2015-07-01,2490114.0
2015-08-01,2502851.0
2015-09-01,2543060.0
2015-10-01,2569860.0
2015-11-01,2503815.0
2015-12-01,2321793.0
2016-01-01,2270368.0
2016-02-01,2349406.0
2016-03-01,2358680.0
2016-04-01,2321150.0
2016-05-01,2273320.0
2016-06-01,2257741.0
2016-07-01,2197864.0
2016-08-01,2239301.0
2016-09-01,2147036.0
