DATE,VALUE
1960-01-01,439.7352735
1961-01-01,369.2166572
1962-01-01,396.2608225
1963-01-01,424.2235571
1964-01-01,418.0679791
1965-01-01,440.2885747
1966-01-01,440.3481417
1967-01-01,485.15232
1968-01-01,480.0176479
1969-01-01,457.3747273
1970-01-01,566.1856997
1971-01-01,562.2989563
1972-01-01,563.4231962
1973-01-01,593.3680283
1974-01-01,566.5990586
1975-01-01,587.355494
1976-01-01,629.9928809
1977-01-01,684.6441461
1978-01-01,690.8468516
1979-01-01,663.6098057
1980-01-01,639.5282614
1981-01-01,658.2807499
1982-01-01,671.9051727
1983-01-01,681.3438061
1984-01-01,657.7348097
1985-01-01,711.8292179
1986-01-01,711.9444068
1987-01-01,733.5474274
1988-01-01,739.7392455
1989-01-01,746.0024037
1990-01-01,771.1207808
1991-01-01,791.0175723
1992-01-01,788.4650714
1993-01-01,764.8950903
1994-01-01,700.3073246
1995-01-01,601.5536808
1996-01-01,552.9671654
1997-01-01,526.2603904
1998-01-01,545.7356124
1999-01-01,521.3119751
2000-01-01,508.2494901
2001-01-01,501.1232484
2002-01-01,516.6638949
2003-01-01,492.7027344
2004-01-01,493.485315
2005-01-01,485.2288868
2006-01-01,488.8368145
2007-01-01,512.1766865
2008-01-01,518.6289558
2009-01-01,515.4662213
2010-01-01,514.869243
