DATE,VALUE
1952-01-01,265.6375492
1953-01-01,285.9362382
1954-01-01,291.5184591
1955-01-01,300.0273746
1956-01-01,327.8335569
1957-01-01,338.250172
1958-01-01,390.4805773
1959-01-01,420.9797503
1960-01-01,413.714359
1961-01-01,316.290682
1962-01-01,298.9106141
1963-01-01,323.1820352
1964-01-01,359.8780396
1965-01-01,400.46982
1966-01-01,428.6334544
1967-01-01,390.0131362
1968-01-01,369.6572569
1969-01-01,398.6635747
1970-01-01,450.9223962
1971-01-01,473.4055945
1972-01-01,468.5140096
1973-01-01,504.7219078
1974-01-01,505.9630414
1975-01-01,534.0234116
1976-01-01,523.8285428
1977-01-01,546.2831722
1978-01-01,615.386499
1979-01-01,648.5328507
1980-01-01,686.4198058
1981-01-01,704.2751776
1982-01-01,750.7814101
1983-01-01,815.6242934
1984-01-01,1006.159796
1985-01-01,1136.565543
1986-01-01,1199.488789
1987-01-01,1272.769985
1988-01-01,1333.245812
1989-01-01,1287.752779
1990-01-01,1346.379608
1991-01-01,1449.255062
1992-01-01,1637.710953
1993-01-01,1847.997388
1994-01-01,2059.148034
1995-01-01,2238.798137
1996-01-01,2434.294893
1997-01-01,2624.104365
1998-01-01,2805.590511
1999-01-01,3000.289654
2000-01-01,3227.566581
2001-01-01,3465.785718
2002-01-01,3730.151877
2003-01-01,4044.915441
2004-01-01,4389.083063
2005-01-01,4831.819807
2006-01-01,5391.187708
2007-01-01,6100.584944
2008-01-01,6638.174721
2009-01-01,7177.434412
2010-01-01,7830.985218
