DATE,VALUE
1970-01-01,1059.074585
1971-01-01,1096.9498291
1972-01-01,1117.4317627
1973-01-01,1132.4979248
1974-01-01,1139.331543
1975-01-01,1180.4759521
1976-01-01,1300.3681641
1977-01-01,1330.439209
1978-01-01,1346.0174561
1979-01-01,1413.7712402
1980-01-01,1473.9906006
1981-01-01,1455.578125
1982-01-01,1505.9713135
1983-01-01,1564.2044678
1984-01-01,1550.6859131
1985-01-01,1641.932373
1986-01-01,1758.2174072
1987-01-01,1829.5942383
1988-01-01,1838.0072021
1989-01-01,1854.5700684
1990-01-01,1817.8039551
1991-01-01,1802.647583
1992-01-01,1776.8060303
1993-01-01,1846.095459
1994-01-01,1882.3607178
1995-01-01,1974.6367188
1996-01-01,2063.0871582
1997-01-01,2183.0588379
1998-01-01,2282.6281738
1999-01-01,2400.9033203
2000-01-01,2522.8151855
2001-01-01,2823.8027344
2002-01-01,2823.902832
2003-01-01,3001.0402832
2004-01-01,3139.6450195
2005-01-01,3263.6936035
2006-01-01,3515.034668
2007-01-01,3762.0258789
2008-01-01,3963.8012695
2009-01-01,3850.638916
2010-01-01,3895.5932617
2011-01-01,3899.7595215
2012-01-01,3705.9489746
2013-01-01,3619.1789551
2014-01-01,3588.5437012
