DATE,VALUE
1970-01-01,11774.220703
1971-01-01,12991.304688
1972-01-01,14265.104492
1973-01-01,15482.619141
1974-01-01,17602.125
1975-01-01,17531.667969
1976-01-01,20652.445313
1977-01-01,22296.074219
1978-01-01,23007.695313
1979-01-01,28269.505859
1980-01-01,30988.039063
1981-01-01,28990.076172
1982-01-01,22356.039063
1983-01-01,21101.042969
1984-01-01,21182.558594
1985-01-01,19393.820313
1986-01-01,12279.932617
1987-01-01,13573.94043
1988-01-01,11698.150391
1989-01-01,13024.301758
1990-01-01,13891.956055
1991-01-01,13581.435547
1992-01-01,14135.991211
1993-01-01,13352.337891
1994-01-01,12588.392578
1995-01-01,11751.582031
1996-01-01,15864.619141
1997-01-01,13625.821289
1998-01-01,12017.862305
1999-01-01,14104.603516
2000-01-01,17264.494141
2001-01-01,16787.908203
2002-01-01,17156.480469
2003-01-01,19025.958984
2004-01-01,21834.162109
2005-01-01,26188.603516
2006-01-01,29222.628906
2007-01-01,27802.736328
2008-01-01,32095.792969
2009-01-01,24339.677734
2010-01-01,25690.292969
2011-01-01,31208.835938
2012-01-01,31467.958984
2013-01-01,29420.398438
2014-01-01,28590.884766
