DATE,VALUE
1960-01-01,121.1435318
1961-01-01,124.18837738
1962-01-01,126.73256683
1963-01-01,167.77137756
1964-01-01,160.28968811
1965-01-01,145.77365112
1966-01-01,168.60845947
1967-01-01,182.12008667
1968-01-01,204.32003784
1969-01-01,213.26177979
1970-01-01,172.07931519
1971-01-01,183.97587585
1972-01-01,190.48036194
1973-01-01,204.83146667
1974-01-01,207.92185974
1975-01-01,238.63734436
1976-01-01,247.96315002
1977-01-01,266.43695068
1978-01-01,236.39637756
1979-01-01,228.03518677
1980-01-01,234.34080505
1981-01-01,242.8795929
1982-01-01,239.35369873
1983-01-01,287.46768188
1984-01-01,295.25958252
1985-01-01,247.03808594
1986-01-01,212.46928406
1987-01-01,177.65168762
1988-01-01,208.40766907
1989-01-01,238.50018311
1990-01-01,183.11599731
1991-01-01,176.05532837
1992-01-01,210.40438843
1993-01-01,226.86004639
1994-01-01,161.83209229
1995-01-01,283.32305908
1996-01-01,453.55545044
1997-01-01,981.20593262
1998-01-01,814.13128662
1999-01-01,1314.0222168
2000-01-01,2130.9294434
2001-01-01,2866.3239746
2002-01-01,5574.3144531
2003-01-01,4996.0839844
2004-01-01,7956.7895508
2005-01-01,11349.431641
2006-01-01,12001.154297
2007-01-01,14206.703125
2008-01-01,21934.755859
2009-01-01,13734.000977
2010-01-01,20514.664063
2011-01-01,30498.90625
2012-01-01,30243.154297
2013-01-01,33247.835938
2014-01-01,32944.546875
