DATE,VALUE
1990-01-01,23303.982422
1991-01-01,22174.683594
1992-01-01,12882.00293
1993-01-01,12881.87207
1994-01-01,11066.755859
1995-01-01,11685.254883
1996-01-01,10826.795898
1997-01-01,10522.935547
1998-01-01,8841.9101563
1999-01-01,7659.4521484
2000-01-01,7685.4946289
2001-01-01,8091.5966797
2002-01-01,8783.1679688
2003-01-01,9503.3251953
2004-01-01,10163.341797
2005-01-01,10824.188477
2006-01-01,11564.444336
2007-01-01,12199.777344
2008-01-01,13163.933594
2009-01-01,13687.422852
2010-01-01,15316.609375
2011-01-01,17515.498047
2012-01-01,17676.621094
2013-01-01,19026.960938
2014-01-01,19592.279297
