DATE,VALUE
1960-01-01,394.8916393
1961-01-01,396.1828837
1962-01-01,441.1645357
1963-01-01,475.2102796
1964-01-01,499.6589624
1965-01-01,500.0077571
1966-01-01,499.4643152
1967-01-01,542.2046728
1968-01-01,527.4731053
1969-01-01,519.75015
1970-01-01,520.1247661
1971-01-01,454.037365
1972-01-01,530.7215191
1973-01-01,654.7126094
1974-01-01,683.2667335
1975-01-01,613.3596521
1976-01-01,692.048225
1977-01-01,784.6226269
1978-01-01,912.1182546
1979-01-01,772.3643888
1980-01-01,723.4352934
1981-01-01,721.029534
1982-01-01,725.8912765
1983-01-01,665.7804522
1984-01-01,658.3767535
1985-01-01,694.3336594
1986-01-01,691.5556973
1987-01-01,710.0264127
1988-01-01,753.8117046
1989-01-01,795.8765334
1990-01-01,822.4775304
1991-01-01,810.2217792
1992-01-01,800.599758
1993-01-01,851.2219612
1994-01-01,886.9093869
1995-01-01,892.2706268
1996-01-01,961.8221631
1997-01-01,1033.841194
1998-01-01,969.2704293
1999-01-01,1019.735724
2000-01-01,1078.831819
2001-01-01,1052.634156
2002-01-01,1155.285504
2003-01-01,1191.09014
2004-01-01,1216.156083
2005-01-01,1180.610478
2006-01-01,1253.455251
2007-01-01,1336.943155
2008-01-01,1382.985333
2009-01-01,1368.423068
2010-01-01,1393.47089
