DATE,VALUE
1951-01-01,4196.216949
1952-01-01,4157.570025
1953-01-01,4005.415986
1954-01-01,4167.806313
1955-01-01,4349.778394
1956-01-01,4334.129965
1957-01-01,4498.217393
1958-01-01,4663.359394
1959-01-01,4588.182865
1960-01-01,4675.451041
1961-01-01,4867.297714
1962-01-01,4639.219041
1963-01-01,4685.196019
1964-01-01,4680.664341
1965-01-01,4906.262772
1966-01-01,4773.584917
1967-01-01,5063.086966
1968-01-01,5006.211103
1969-01-01,5097.948319
1970-01-01,5287.541818
1971-01-01,5355.703638
1972-01-01,5615.998279
1973-01-01,5860.908023
1974-01-01,6086.357342
1975-01-01,6346.529314
1976-01-01,6591.700705
1977-01-01,7024.164282
1978-01-01,7771.642662
1979-01-01,8945.542564
1980-01-01,9430.121599
1981-01-01,9775.356245
1982-01-01,9140.574992
1983-01-01,8510.600501
1984-01-01,8481.789585
1985-01-01,8640.556287
1986-01-01,8344.755641
1987-01-01,8351.587618
1988-01-01,8815.979259
1989-01-01,9333.387757
1990-01-01,8939.163526
1991-01-01,8812.530603
1992-01-01,8478.015747
1993-01-01,8561.497948
1994-01-01,8078.172587
1995-01-01,8187.024105
1996-01-01,8220.824937
1997-01-01,8493.168907
1998-01-01,8545.193747
1999-01-01,8293.505634
2000-01-01,7723.354147
2001-01-01,7686.526492
2002-01-01,7486.620275
2003-01-01,7572.933473
2004-01-01,7653.91022
2005-01-01,7613.903545
2006-01-01,7660.587884
2007-01-01,7953.324319
2008-01-01,8177.185361
2009-01-01,7649.404789
2010-01-01,8494.306229
