DATE,VALUE
1953-01-01,5071.7119141
1954-01-01,5640.706543
1955-01-01,6196.9741211
1956-01-01,6843.2695313
1957-01-01,7717.7397461
1958-01-01,7915.2026367
1959-01-01,8172.265625
1960-01-01,8657.609375
1961-01-01,9053.3105469
1962-01-01,9252.6445313
1963-01-01,9900.671875
1964-01-01,10497.015625
1965-01-01,10925.013672
1966-01-01,11095.012695
1967-01-01,11182.573242
1968-01-01,11383.875
1969-01-01,11827.807617
1970-01-01,13437.227539
1971-01-01,13842.517578
1972-01-01,15109.473633
1973-01-01,15302.241211
1974-01-01,14707.589844
1975-01-01,14662.632813
1976-01-01,13715.822266
1977-01-01,13389.546875
1978-01-01,13462.430664
1979-01-01,13214.488281
1980-01-01,12457.720703
1981-01-01,12776.50293
1982-01-01,12933.169922
1983-01-01,13228.792969
1984-01-01,13115.720703
1985-01-01,12506.764648
1986-01-01,12717.242188
1987-01-01,13699.146484
1988-01-01,14094.397461
1989-01-01,15058.268555
1990-01-01,15880.167969
1991-01-01,16018.980469
1992-01-01,17673.890625
1993-01-01,18021.603516
1994-01-01,18182.351563
1995-01-01,18369.498047
1996-01-01,18427.125
1997-01-01,18245.75
1998-01-01,18021.976563
1999-01-01,18200.169922
2000-01-01,18326.003906
2001-01-01,18560.728516
2002-01-01,18685.992188
2003-01-01,19371.080078
2004-01-01,19627.521484
2005-01-01,19802.951172
2006-01-01,20377.042969
2007-01-01,20671.328125
2008-01-01,20522.017578
2009-01-01,19613.875
2010-01-01,19321.832031
2011-01-01,19654.798828
2012-01-01,19536.169922
2013-01-01,19643.220703
2014-01-01,19778.306641
