DATE,VALUE
1950-01-01,2254261.75
1951-01-01,2435924.0
1952-01-01,2535115.75
1953-01-01,2654125.0
1954-01-01,2639158.5
1955-01-01,2827117.0
1956-01-01,2887395.5
1957-01-01,2948190.5
1958-01-01,2926515.0
1959-01-01,3128510.75
1960-01-01,3208710.5
1961-01-01,3290665.0
1962-01-01,3491938.5
1963-01-01,3643977.0
1964-01-01,3854127.25
1965-01-01,4104635.0
1966-01-01,4375270.5
1967-01-01,4495312.0
1968-01-01,4715990.0
1969-01-01,4864106.5
1970-01-01,4873912.5
1971-01-01,5034354.5
1972-01-01,5298624.5
1973-01-01,5597607.5
1974-01-01,5568680.0
1975-01-01,5557626.0
1976-01-01,5857021.5
1977-01-01,6126974.0
1978-01-01,6467694.0
1979-01-01,6673077.0
1980-01-01,6656753.5
1981-01-01,6829490.0
1982-01-01,6699008.0
1983-01-01,7009355.0
1984-01-01,7518162.5
1985-01-01,7836877.5
1986-01-01,8112098.5
1987-01-01,8392898.0
1988-01-01,8745706.0
1989-01-01,9067624.0
1990-01-01,9241600.0
1991-01-01,9234885.0
1992-01-01,9563208.0
1993-01-01,9825721.0
1994-01-01,10222333.0
1995-01-01,10511666.0
1996-01-01,10910675.0
1997-01-01,11400236.0
1998-01-01,11907535.0
1999-01-01,12465426.0
2000-01-01,12975535.0
2001-01-01,13102174.0
2002-01-01,13336194.0
2003-01-01,13710512.0
2004-01-01,14229557.0
2005-01-01,14705564.0
2006-01-01,15097712.0
2007-01-01,15366229.0
2008-01-01,15321422.0
2009-01-01,14896173.0
2010-01-01,15273331.0
2011-01-01,15517931.0
2012-01-01,15863049.0
2013-01-01,16099333.0
2014-01-01,16490192.0
