DATE,VALUE
1950-01-01,51747.59375
1951-01-01,57079.898438
1952-01-01,65347.589844
1953-01-01,67021.789063
1954-01-01,73791.59375
1955-01-01,78717.117188
1956-01-01,86514.617188
1957-01-01,94830.234375
1958-01-01,97610.15625
1959-01-01,102912.44531
1960-01-01,97132.90625
1961-01-01,101409.1875
1962-01-01,111255.26563
1963-01-01,118586.84375
1964-01-01,134082.54688
1965-01-01,140598.5625
1966-01-01,139430.89063
1967-01-01,145477.125
1968-01-01,159295.79688
1969-01-01,167860.89063
1970-01-01,187912.20313
1971-01-01,193683.09375
1972-01-01,199992.10938
1973-01-01,212502.51563
1974-01-01,225387.75
1975-01-01,239063.46875
1976-01-01,260031.67188
1977-01-01,277511.375
1978-01-01,283445.5625
1979-01-01,287230.96875
1980-01-01,281519.4375
1981-01-01,280669.59375
1982-01-01,282584.5625
1983-01-01,266711.8125
1984-01-01,263100.84375
1985-01-01,263609.40625
1986-01-01,280771.28125
1987-01-01,290827.53125
1988-01-01,307757.65625
1989-01-01,281383.1875
1990-01-01,299582.90625
1991-01-01,328731.96875
1992-01-01,348654.6875
1993-01-01,349614.84375
1994-01-01,341400.625
1995-01-01,354891.625
1996-01-01,354189.5
1997-01-01,376754.6875
1998-01-01,377862.5625
1999-01-01,355302.4375
2000-01-01,368402.21875
2001-01-01,380906.65625
2002-01-01,347174.90625
2003-01-01,320250.46875
2004-01-01,378813.40625
2005-01-01,417899.03125
2006-01-01,459154.65625
2007-01-01,499347.125
2008-01-01,525701.9375
2009-01-01,508867.375
2010-01-01,501291.40625
2011-01-01,522227.46875
2012-01-01,551607.75
2013-01-01,559016.375
2014-01-01,536655.6875
