DATE,VALUE
1990-01-01,182571.53125
1991-01-01,178418.01563
1992-01-01,180631.0
1993-01-01,132992.15625
1994-01-01,105963.39844
1995-01-01,90297.734375
1996-01-01,88803.507813
1997-01-01,82876.835938
1998-01-01,77324.765625
1999-01-01,73794.539063
2000-01-01,84046.210938
2001-01-01,95309.054688
2002-01-01,100176.71094
2003-01-01,113677.70313
2004-01-01,130124.65625
2005-01-01,156714.35938
2006-01-01,191910.28125
2007-01-01,224655.73438
2008-01-01,262185.21875
2009-01-01,248266.07813
2010-01-01,293976.03125
2011-01-01,352639.4375
2012-01-01,373863.125
2013-01-01,405689.21875
2014-01-01,408570.5
