DATE,VALUE
1960-01-01,2178.2788086
1961-01-01,2181.1188965
1962-01-01,2487.4387207
1963-01-01,2654.7907715
1964-01-01,2996.5524902
1965-01-01,3143.1901855
1966-01-01,3346.7023926
1967-01-01,3360.4331055
1968-01-01,3490.2646484
1969-01-01,3734.9694824
1970-01-01,4068.1896973
1971-01-01,4281.1723633
1972-01-01,4365.9008789
1973-01-01,4538.105957
1974-01-01,4865.5327148
1975-01-01,4976.559082
1976-01-01,5041.0063477
1977-01-01,5053.1513672
1978-01-01,5203.2387695
1979-01-01,5368.1069336
1980-01-01,5790.6733398
1981-01-01,5829.3935547
1982-01-01,5625.0146484
1983-01-01,5417.0639648
1984-01-01,5374.7011719
1985-01-01,5118.8979492
1986-01-01,5268.5673828
1987-01-01,6523.6083984
1988-01-01,6753.0068359
1989-01-01,6913.534668
1990-01-01,7095.7285156
1991-01-01,7004.4619141
1992-01-01,7474.6738281
1993-01-01,6896.0097656
1994-01-01,7213.1621094
1995-01-01,8035.2680664
1996-01-01,8489.0507813
1997-01-01,8772.6103516
1998-01-01,9152.9384766
1999-01-01,9380.0419922
2000-01-01,9809.8466797
2001-01-01,10147.598633
2002-01-01,10497.183594
2003-01-01,10597.928711
2004-01-01,11524.945313
2005-01-01,12635.632813
2006-01-01,13775.458984
2007-01-01,14412.393555
2008-01-01,16039.365234
2009-01-01,15617.205078
2010-01-01,16284.974609
2011-01-01,18377.044922
2012-01-01,21107.875
2013-01-01,22235.298828
2014-01-01,26939.921875
