DATE,VALUE
1970-01-01,1026.507679
1971-01-01,949.6678604
1972-01-01,906.0568283
1973-01-01,975.512551
1974-01-01,1052.298573
1975-01-01,1078.601838
1976-01-01,1146.176094
1977-01-01,1155.860755
1978-01-01,1191.733268
1979-01-01,1135.207295
1980-01-01,1128.959615
1981-01-01,1271.380167
1982-01-01,1408.861717
1983-01-01,1495.534634
1984-01-01,1484.89703
1985-01-01,1449.910722
1986-01-01,1494.340821
1987-01-01,1349.8833
1988-01-01,1229.261696
1989-01-01,1115.837345
1990-01-01,1077.615114
1991-01-01,952.3759987
1992-01-01,879.6526244
1993-01-01,582.024988
1994-01-01,415.5417047
1995-01-01,591.878592
1996-01-01,541.9669116
1997-01-01,497.9064044
1998-01-01,460.6031508
1999-01-01,423.7464061
2000-01-01,396.7107338
2001-01-01,376.0713542
2002-01-01,580.8701998
2003-01-01,643.0926392
2004-01-01,678.4057123
2005-01-01,775.734064
2006-01-01,826.6137609
2007-01-01,930.6424656
2008-01-01,932.3537171
2009-01-01,1040.422729
2010-01-01,934.2636612
