DATE,VALUE
1960-01-01,1227.918956
1961-01-01,1257.61486
1962-01-01,1228.986127
1963-01-01,1290.399394
1964-01-01,1313.521678
1965-01-01,1317.939532
1966-01-01,1341.414909
1967-01-01,1170.289619
1968-01-01,1229.062039
1969-01-01,1270.312463
1970-01-01,1295.344748
1971-01-01,1384.385439
1972-01-01,1461.333797
1973-01-01,1457.723345
1974-01-01,1457.363954
1975-01-01,1640.801516
1976-01-01,1520.992376
1977-01-01,1751.060938
1978-01-01,2011.66585
1979-01-01,2044.298048
1980-01-01,1959.563535
1981-01-01,2056.029315
1982-01-01,2125.538651
1983-01-01,2206.954807
1984-01-01,2251.819594
1985-01-01,2131.779461
1986-01-01,2001.094335
1987-01-01,1911.608311
1988-01-01,1821.33634
1989-01-01,1783.938239
1990-01-01,1760.697
1991-01-01,1668.304533
1992-01-01,1550.488968
1993-01-01,1490.833063
1994-01-01,1470.591186
1995-01-01,1484.977517
1996-01-01,1515.36416
1997-01-01,1542.997353
1998-01-01,1591.526564
1999-01-01,1634.995159
2000-01-01,1663.167915
2001-01-01,1655.196983
2002-01-01,1672.157865
2003-01-01,1735.548781
2004-01-01,1749.481566
2005-01-01,1742.694249
2006-01-01,1817.312069
2007-01-01,1810.53939
2008-01-01,1786.228738
2009-01-01,1758.250832
2010-01-01,1822.63368
