DATE,VALUE
1960-01-01,409.1849354
1961-01-01,410.4921986
1962-01-01,417.909309
1963-01-01,536.1337626
1964-01-01,513.874788
1965-01-01,474.2059305
1966-01-01,535.0248321
1967-01-01,570.0984663
1968-01-01,623.7294557
1969-01-01,642.5628866
1970-01-01,532.4288196
1971-01-01,539.2060441
1972-01-01,555.7750393
1973-01-01,631.379038
1974-01-01,711.5013231
1975-01-01,895.0423764
1976-01-01,1017.982523
1977-01-01,1080.595378
1978-01-01,996.8168586
1979-01-01,835.2889377
1980-01-01,757.4537417
1981-01-01,749.2271591
1982-01-01,711.9397464
1983-01-01,749.8679176
1984-01-01,716.8334166
1985-01-01,699.4206244
1986-01-01,596.2962206
1987-01-01,511.3221878
1988-01-01,567.7548562
1989-01-01,584.7801031
1990-01-01,395.4072274
1991-01-01,388.368897
1992-01-01,427.9677246
1993-01-01,439.5414733
1994-01-01,308.4360785
1995-01-01,550.3835426
1996-01-01,877.7045486
1997-01-01,1787.408095
1998-01-01,1459.573023
1999-01-01,2259.097396
2000-01-01,3455.579501
2001-01-01,4488.489874
2002-01-01,5837.654424
2003-01-01,7223.149018
2004-01-01,11558.24456
2005-01-01,14912.66986
2006-01-01,13385.23059
2007-01-01,13823.2699
2008-01-01,16933.1339
2009-01-01,9911.796252
2010-01-01,9955.402646
