DATE,VALUE
1970-01-01,3269.793005
1971-01-01,3444.108885
1972-01-01,3799.011701
1973-01-01,4009.650895
1974-01-01,4098.447823
1975-01-01,5463.451135
1976-01-01,6338.634224
1977-01-01,6869.236528
1978-01-01,7442.594634
1979-01-01,7811.491411
1980-01-01,7941.161319
1981-01-01,8395.131084
1982-01-01,8931.612552
1983-01-01,8735.367953
1984-01-01,8896.562609
1985-01-01,9238.99938
1986-01-01,9609.738846
1987-01-01,9919.576379
1988-01-01,10999.64287
1989-01-01,11659.44377
1990-01-01,12224.60377
1991-01-01,12896.24441
1992-01-01,13020.64654
1993-01-01,13263.67822
1994-01-01,13932.19803
1995-01-01,14681.50463
1996-01-01,15081.05832
1997-01-01,16715.73018
1998-01-01,18130.06252
1999-01-01,19107.78969
2000-01-01,19567.64913
2001-01-01,19018.77392
2002-01-01,19610.43795
2003-01-01,19967.54993
2004-01-01,19612.8995
2005-01-01,20313.79968
2006-01-01,20650.60739
2007-01-01,21634.79603
2008-01-01,22001.31324
2009-01-01,21315.80075
2010-01-01,21609.651
