DATE,VALUE
1970-01-01,904.6361083
1971-01-01,917.2516075
1972-01-01,910.3787834
1973-01-01,902.7875017
1974-01-01,931.8378213
1975-01-01,832.2628072
1976-01-01,812.7475877
1977-01-01,877.7468489
1978-01-01,977.800725
1979-01-01,1053.896182
1980-01-01,1215.889994
1981-01-01,1321.08826
1982-01-01,1244.523707
1983-01-01,1404.118285
1984-01-01,1728.215837
1985-01-01,1894.443823
1986-01-01,1990.426043
1987-01-01,2082.057034
1988-01-01,2175.992482
1989-01-01,2283.184673
1990-01-01,2543.132666
1991-01-01,2619.864345
1992-01-01,2662.568425
1993-01-01,2727.842072
1994-01-01,2815.964836
1995-01-01,2884.591395
1996-01-01,3145.638977
1997-01-01,3399.320551
1998-01-01,3662.915276
1999-01-01,3631.813857
2000-01-01,3807.136171
2001-01-01,3853.360125
2002-01-01,4024.587527
2003-01-01,4809.805114
2004-01-01,4271.127599
2005-01-01,4133.13677
2006-01-01,4851.796186
2007-01-01,5355.609479
2008-01-01,5396.779997
2009-01-01,4382.665627
2010-01-01,4046.086489
