DATE,VALUE
1950-01-01,1243.421429
1951-01-01,1302.135263
1952-01-01,1390.113383
1953-01-01,1389.574457
1954-01-01,1490.176391
1955-01-01,1405.40512
1956-01-01,1339.749627
1957-01-01,1326.495521
1958-01-01,1376.582761
1959-01-01,1441.865272
1960-01-01,1679.878424
1961-01-01,1567.348914
1962-01-01,1562.135055
1963-01-01,1659.242768
1964-01-01,1676.529905
1965-01-01,1603.061178
1966-01-01,1469.752431
1967-01-01,1206.751678
1968-01-01,1162.021679
1969-01-01,1327.083163
1970-01-01,1609.953108
1971-01-01,1834.775548
1972-01-01,1912.109397
1973-01-01,1890.299541
1974-01-01,2141.272074
1975-01-01,1922.337852
1976-01-01,2055.213856
1977-01-01,2106.502921
1978-01-01,1911.590189
1979-01-01,1768.166147
1980-01-01,1732.34723
1981-01-01,1676.760743
1982-01-01,1470.738667
1983-01-01,1246.90836
1984-01-01,1121.778028
1985-01-01,1195.496716
1986-01-01,927.6944792
1987-01-01,782.9590742
1988-01-01,803.4483459
1989-01-01,973.4722422
1990-01-01,1028.203484
1991-01-01,1037.934164
1992-01-01,1042.939483
1993-01-01,972.6868447
1994-01-01,869.080078
1995-01-01,912.8278429
1996-01-01,1001.517197
1997-01-01,957.724858
1998-01-01,818.2628801
1999-01-01,918.8315614
2000-01-01,1204.975014
2001-01-01,1229.684423
2002-01-01,1235.865394
2003-01-01,1373.531963
2004-01-01,1548.769995
2005-01-01,1510.74653
2006-01-01,1633.93121
2007-01-01,1798.01135
2008-01-01,1637.754563
2009-01-01,1375.819634
2010-01-01,1444.389866
