DATE,VALUE
1951-01-01,1254.851078
1952-01-01,1372.309169
1953-01-01,1461.4044
1954-01-01,1518.764822
1955-01-01,1589.74727
1956-01-01,1595.536077
1957-01-01,1664.256515
1958-01-01,1714.304396
1959-01-01,1769.862013
1960-01-01,1848.164179
1961-01-01,1914.58406
1962-01-01,2033.298914
1963-01-01,2237.43057
1964-01-01,2467.427978
1965-01-01,2581.171912
1966-01-01,2779.781038
1967-01-01,2992.81195
1968-01-01,3220.189352
1969-01-01,3496.382887
1970-01-01,3814.578774
1971-01-01,4256.993269
1972-01-01,4817.730895
1973-01-01,5249.927566
1974-01-01,4903.285562
1975-01-01,5167.892686
1976-01-01,5955.094896
1977-01-01,6506.138291
1978-01-01,7195.06725
1979-01-01,7506.44152
1980-01-01,7656.406208
1981-01-01,8048.249872
1982-01-01,8341.755031
1983-01-01,9052.464544
1984-01-01,9863.223441
1985-01-01,10199.19048
1986-01-01,11665.60053
1987-01-01,12652.33275
1988-01-01,12875.38333
1989-01-01,13998.24274
1990-01-01,14847.93521
1991-01-01,15971.52288
1992-01-01,16834.64425
1993-01-01,17821.32233
1994-01-01,18872.90968
1995-01-01,19737.0214
1996-01-01,20888.01178
1997-01-01,22160.52042
1998-01-01,23083.2837
1999-01-01,23778.89995
2000-01-01,24753.12503
2001-01-01,23818.40185
2002-01-01,24798.19732
2003-01-01,25232.83623
2004-01-01,26121.6807
2005-01-01,26692.99139
2006-01-01,27336.72785
2007-01-01,28168.99309
2008-01-01,26510.57336
2009-01-01,26390.19037
2010-01-01,28575.10212
