DATE,VALUE
1986-01-01,51495.74282
1987-01-01,45009.52842
1988-01-01,49326.53591
1989-01-01,46658.21544
1990-01-01,50063.69601
1991-01-01,57264.09254
1992-01-01,58843.93103
1993-01-01,57123.41763
1994-01-01,55445.17552
1995-01-01,55556.34943
1996-01-01,56062.09627
1997-01-01,57687.05651
1998-01-01,59681.36737
1999-01-01,57696.95056
2000-01-01,57229.73271
2001-01-01,54962.52232
2002-01-01,51989.50086
2003-01-01,54860.2286
2004-01-01,55594.15216
2005-01-01,57906.2313
2006-01-01,58185.13966
2007-01-01,58945.83187
2008-01-01,59723.09095
2009-01-01,57421.97416
2010-01-01,57973.2868
