DATE,VALUE
1976-06-01,0.27532
1976-07-01,0.32505
1976-08-01,0.30123
1976-09-01,0.24377
1976-10-01,0.14548
1976-11-01,0.2082
1976-12-01,0.0466
1977-01-01,-0.08615
1977-02-01,-0.07058
1977-03-01,-0.01361
1977-04-01,-0.02062
1977-05-01,-0.15641
1977-06-01,-0.09988
1977-07-01,0.03106
1977-08-01,0.03392
1977-09-01,0.07022
1977-10-01,0.10736
1977-11-01,0.17379
1977-12-01,0.19574
1978-01-01,0.10013
1978-02-01,0.33554
1978-03-01,0.24769
1978-04-01,0.2478
1978-05-01,-0.22453
1978-06-01,-0.12477
1978-07-01,-0.04897
1978-08-01,0.27527
1978-09-01,0.19989
1978-10-01,0.26542
1978-11-01,0.16284
1978-12-01,0.16044
1979-01-01,0.11451
1979-02-01,0.20573
1979-03-01,0.31841
1979-04-01,0.25778
1979-05-01,0.43759
1979-06-01,0.22078
1979-07-01,0.24725
1979-08-01,-0.00495
1979-09-01,0.21692
1979-10-01,0.22069
1979-11-01,0.12357
1979-12-01,0.02379
1980-01-01,-0.00019
1980-02-01,-0.11242
1980-03-01,-0.27059
1980-04-01,-0.29172
1980-05-01,0.05938
1980-06-01,0.29089
1980-07-01,0.21026
1980-08-01,-0.29616
1980-09-01,-0.71708
1980-10-01,-0.91184
1980-11-01,-0.90227
1980-12-01,-0.78889
1981-01-01,-0.50378
1981-02-01,-0.15012
1981-03-01,0.12985
1981-04-01,0.18119
1981-05-01,0.04853
1981-06-01,-0.12219
1981-07-01,-0.1418
1981-08-01,-0.20238
1981-09-01,-0.19289
1981-10-01,-0.21877
1981-11-01,-0.15918
1981-12-01,-0.13996
1982-01-01,-0.13299
1982-02-01,-0.09032
1982-03-01,-0.4422
1982-04-01,-0.54398
1982-05-01,-0.61757
1982-06-01,-0.3937
1982-07-01,-0.35744
1982-08-01,-0.40672
1982-09-01,-0.2107
1982-10-01,-0.18603
1982-11-01,-0.10925
1982-12-01,-0.37517
1983-01-01,-0.4494
1983-02-01,-0.73452
1983-03-01,-0.47305
1983-04-01,-0.45103
1983-05-01,-0.19727
1983-06-01,-0.3053
1983-07-01,-0.24342
1983-08-01,-0.20935
1983-09-01,0.0301
1983-10-01,-0.02164
1983-11-01,0.0289
1983-12-01,-0.02109
1984-01-01,0.13442
1984-02-01,0.07345
1984-03-01,0.01448
1984-04-01,0.05702
1984-05-01,0.16592
1984-06-01,0.15153
1984-07-01,0.04957
1984-08-01,0.00038
1984-09-01,-0.00308
1984-10-01,-0.00337
1984-11-01,-0.01079
1984-12-01,-0.15857
1985-01-01,-0.17098
1985-02-01,-0.17441
1985-03-01,-0.10445
1985-04-01,-0.17325
1985-05-01,-0.18858
1985-06-01,-0.24562
1985-07-01,-0.1691
1985-08-01,-0.12652
1985-09-01,-0.09981
1985-10-01,-0.13952
1985-11-01,-0.08221
1985-12-01,-0.05084
1986-01-01,-0.01156
1986-02-01,-0.14571
1986-03-01,-0.02424
1986-04-01,0.05172
1986-05-01,0.07048
1986-06-01,0.02967
1986-07-01,0.03893
1986-08-01,0.14483
1986-09-01,0.15602
1986-10-01,0.05902
1986-11-01,0.0382
1986-12-01,-0.03871
1987-01-01,-0.14379
1987-02-01,0.00077
