DATE,VALUE
1970-01-01,13370.939453
1971-01-01,16633.244141
1972-01-01,18107.869141
1973-01-01,20079.894531
1974-01-01,22426.048828
1975-01-01,23378.757813
1976-01-01,26912.244141
1977-01-01,30931.205078
1978-01-01,33368.089844
1979-01-01,36747.984375
1980-01-01,39689.367188
1981-01-01,42508.128906
1982-01-01,46345.421875
1983-01-01,52164.820313
1984-01-01,58436.0
1985-01-01,60563.496094
1986-01-01,62478.152344
1987-01-01,63962.339844
1988-01-01,65990.265625
1989-01-01,68483.59375
1990-01-01,71105.4375
1991-01-01,74433.992188
1992-01-01,78195.101563
1993-01-01,82516.601563
1994-01-01,85974.921875
1995-01-01,88292.921875
1996-01-01,90657.320313
1997-01-01,94028.554688
1998-01-01,97272.289063
1999-01-01,99262.679688
2000-01-01,102570.48438
2001-01-01,105080.82031
2002-01-01,109583.35938
2003-01-01,115062.88281
2004-01-01,119991.26563
2005-01-01,127427.39063
2006-01-01,137338.26563
2007-01-01,152348.92188
2008-01-01,170514.39063
2009-01-01,180963.4375
2010-01-01,193561.96875
2011-01-01,198958.39063
2012-01-01,207632.0625
2013-01-01,213853.70313
2014-01-01,220069.5
