DATE,VALUE
1950-01-01,3280.3649902
1951-01-01,3524.5727539
1952-01-01,3695.1186523
1953-01-01,3921.2709961
1954-01-01,4180.2509766
1955-01-01,4589.1958008
1956-01-01,4933.1020508
1957-01-01,5298.7304688
1958-01-01,5686.6782227
1959-01-01,6105.0991211
1960-01-01,6496.9731445
1961-01-01,6836.1801758
1962-01-01,7160.1933594
1963-01-01,7640.8085938
1964-01-01,8263.1416016
1965-01-01,8984.1376953
1966-01-01,9696.5664063
1967-01-01,10501.248047
1968-01-01,11149.433594
1969-01-01,11577.650391
1970-01-01,12018.74707
1971-01-01,12775.09375
1972-01-01,13516.356445
1973-01-01,14496.054688
1974-01-01,15532.662109
1975-01-01,16419.212891
1976-01-01,17257.625
1977-01-01,18213.394531
1978-01-01,19053.960938
1979-01-01,19872.283203
1980-01-01,20784.480469
1981-01-01,21692.525391
1982-01-01,22554.675781
1983-01-01,23207.958984
1984-01-01,23970.353516
1985-01-01,24740.666016
1986-01-01,25438.419922
1987-01-01,26385.0625
1988-01-01,27274.304688
1989-01-01,28022.367188
1990-01-01,28821.847656
1991-01-01,29606.794922
1992-01-01,30222.449219
1993-01-01,30668.771484
1994-01-01,31136.949219
1995-01-01,31758.658203
1996-01-01,32448.583984
1997-01-01,33446.320313
1998-01-01,34969.730469
1999-01-01,36295.140625
2000-01-01,37768.671875
2001-01-01,39083.285156
2002-01-01,39954.316406
2003-01-01,41050.390625
2004-01-01,42756.539063
2005-01-01,45315.636719
2006-01-01,48588.003906
2007-01-01,51059.34375
2008-01-01,52285.136719
2009-01-01,51616.238281
2010-01-01,50938.957031
2011-01-01,50603.667969
2012-01-01,50414.253906
2013-01-01,50240.796875
2014-01-01,50351.335938
