DATE,VALUE
1970-01-01,2929.3825684
1971-01-01,4256.2797852
1972-01-01,4656.3964844
1973-01-01,5201.15625
1974-01-01,5885.5786133
1975-01-01,6630.6313477
1976-01-01,7353.5551758
1977-01-01,8211.6542969
1978-01-01,9860.6933594
1979-01-01,11740.063477
1980-01-01,12689.083008
1981-01-01,13985.007813
1982-01-01,15221.563477
1983-01-01,17595.167969
1984-01-01,19486.710938
1985-01-01,20358.816406
1986-01-01,20835.697266
1987-01-01,22953.341797
1988-01-01,25161.574219
1989-01-01,27542.521484
1990-01-01,29741.695313
1991-01-01,31986.892578
1992-01-01,34586.289063
1993-01-01,36862.964844
1994-01-01,39091.199219
1995-01-01,41047.851563
1996-01-01,42503.527344
1997-01-01,44052.414063
1998-01-01,45931.484375
1999-01-01,46388.429688
2000-01-01,46406.671875
2001-01-01,47360.011719
2002-01-01,47748.574219
2003-01-01,48453.726563
2004-01-01,49073.945313
2005-01-01,49357.339844
2006-01-01,49562.703125
2007-01-01,49551.972656
2008-01-01,49408.550781
2009-01-01,49391.859375
2010-01-01,49334.335938
2011-01-01,49072.53125
2012-01-01,48883.382813
2013-01-01,48909.292969
2014-01-01,48947.414063
