DATE,VALUE
1988-01-01,870.0
1988-02-01,1480.0
1988-03-01,1427.0
1988-04-01,1358.0
1988-05-01,1312.0
1988-06-01,1435.0
1988-07-01,1316.0
1988-08-01,1411.0
1988-09-01,1366.0
1988-10-01,1377.0
1988-11-01,1382.0
1988-12-01,1441.0
1989-01-01,1314.0
1989-02-01,1261.0
1989-03-01,1222.0
1989-04-01,1113.0
1989-05-01,1250.0
1989-06-01,1226.0
1989-07-01,1206.0
1989-08-01,1281.0
1989-09-01,1192.0
1989-10-01,1173.0
1989-11-01,1305.0
1989-12-01,976.0
1990-01-01,1368.0
1990-02-01,1329.0
1990-03-01,1297.0
1990-04-01,1347.0
1990-05-01,1389.0
1990-06-01,1264.0
1990-07-01,1308.0
1990-08-01,1248.0
1990-09-01,1204.0
1990-10-01,1144.0
1990-11-01,1134.0
1990-12-01,1146.0
1991-01-01,965.0
1991-02-01,1107.0
1991-03-01,1144.0
1991-04-01,1250.0
1991-05-01,1169.0
1991-06-01,1201.0
1991-07-01,1255.0
1991-08-01,1185.0
1991-09-01,1437.0
1991-10-01,1325.0
1991-11-01,1052.0
1991-12-01,1198.0
1992-01-01,1334.0
1992-02-01,1414.0
1992-03-01,1359.0
1992-04-01,1353.0
1992-05-01,1344.0
1992-06-01,1311.0
1992-07-01,1390.0
1992-08-01,1273.0
1992-09-01,1517.0
1992-10-01,1449.0
1992-11-01,1264.0
1992-12-01,1500.0
1993-01-01,1334.0
1993-02-01,1645.0
1993-03-01,1289.0
1993-04-01,1373.0
1993-05-01,1239.0
1993-06-01,1388.0
1993-07-01,1419.0
1993-08-01,1567.0
1993-09-01,1417.0
1993-10-01,1574.0
1993-11-01,1682.0
1993-12-01,1505.0
1994-01-01,1672.0
1994-02-01,1666.0
1994-03-01,1783.0
1994-04-01,1675.0
1994-05-01,1761.0
1994-06-01,1713.0
1994-07-01,1527.0
1994-08-01,1644.0
1994-09-01,1650.0
1994-10-01,1449.0
1994-11-01,1540.0
1994-12-01,1611.0
1995-01-01,1619.0
1995-02-01,1476.0
1995-03-01,1640.0
1995-04-01,1439.0
1995-05-01,1597.0
1995-06-01,1623.0
1995-07-01,1925.0
1995-08-01,1605.0
1995-09-01,1530.0
1995-10-01,1636.0
1995-11-01,1681.0
1995-12-01,1542.0
1996-01-01,1646.0
1996-02-01,1986.0
1996-03-01,1698.0
1996-04-01,1863.0
1996-05-01,1921.0
1996-06-01,1869.0
1996-07-01,1840.0
1996-08-01,1854.0
1996-09-01,1572.0
1996-10-01,1920.0
1996-11-01,1931.0
1996-12-01,2068.0
1997-01-01,2024.0
1997-02-01,1791.0
1997-03-01,1714.0
1997-04-01,1859.0
1997-05-01,1863.0
1997-06-01,1762.0
1997-07-01,1790.0
1997-08-01,1757.0
1997-09-01,1877.0
