DATE,VALUE
1996-01-01,127.55
1996-02-01,127.44
1996-03-01,127.3
1996-04-01,127.2
1996-05-01,127.2
1996-06-01,127.2
1996-07-01,124.96
1996-08-01,125.07
1996-09-01,125.07
1996-10-01,124.52
1996-11-01,124.08
1996-12-01,124.02
1997-01-01,124.18
1997-02-01,124.18
1997-03-01,124.73
1997-04-01,124.62
1997-05-01,124.81
1997-06-01,124.81
1997-07-01,124.64
1997-08-01,124.64
1997-09-01,125.22
1997-10-01,124.03
1997-11-01,123.81
1997-12-01,123.46
1998-01-01,123.65
1998-02-01,123.65
1998-03-01,123.32
1998-04-01,123.43
1998-05-01,123.21
1998-06-01,123.32
1998-07-01,123.43
1998-08-01,123.87
1998-09-01,123.65
1998-10-01,123.37
1998-11-01,123.04
1998-12-01,122.69
1999-01-01,119.16
1999-02-01,118.93
1999-03-01,119.62
1999-04-01,118.93
1999-05-01,118.71
1999-06-01,118.02
1999-07-01,117.71
1999-08-01,117.49
1999-09-01,117.27
1999-10-01,117.15
1999-11-01,116.47
1999-12-01,116.24
2000-01-01,116.1
2000-02-01,113.85
2000-03-01,112.54
2000-04-01,110.91
2000-05-01,109.72
2000-06-01,108.65
2000-07-01,108.29
2000-08-01,107.71
2000-09-01,107.12
2000-10-01,106.51
2000-11-01,106.41
2000-12-01,106.11
2001-01-01,106.21
2001-02-01,105.73
2001-03-01,105.13
2001-04-01,105.14
2001-05-01,104.9
2001-06-01,104.92
2001-07-01,105.13
2001-08-01,105.13
2001-09-01,105.01
2001-10-01,105.01
2001-11-01,104.9
2001-12-01,104.82
2002-01-01,104.92
2002-02-01,105.28
2002-03-01,105.04
2002-04-01,105.06
2002-05-01,104.94
2002-06-01,104.94
2002-07-01,104.98
2002-08-01,105.1
2002-09-01,105.1
2002-10-01,105.1
2002-11-01,104.63
2002-12-01,104.35
2003-01-01,104.34
2003-02-01,104.46
2003-03-01,104.44
2003-04-01,104.45
2003-05-01,104.45
2003-06-01,104.35
2003-07-01,104.6
2003-08-01,104.6
2003-09-01,104.84
2003-10-01,104.24
2003-11-01,104.11
2003-12-01,103.57
2004-01-01,103.46
2004-02-01,103.33
2004-03-01,102.97
2004-04-01,102.73
2004-05-01,102.49
2004-06-01,102.37
2004-07-01,102.24
2004-08-01,102.0
2004-09-01,101.88
2004-10-01,101.76
2004-11-01,101.27
2004-12-01,100.97
2005-01-01,100.97
2005-02-01,101.46
2005-03-01,101.43
2005-04-01,100.94
2005-05-01,100.22
2005-06-01,100.1
2005-07-01,99.97
2005-08-01,99.85
2005-09-01,99.61
2005-10-01,98.78
2005-11-01,98.54
2005-12-01,98.12
2006-01-01,98.13
2006-02-01,98.02
2006-03-01,97.91
2006-04-01,97.24
2006-05-01,96.79
2006-06-01,96.54
2006-07-01,96.53
2006-08-01,95.98
2006-09-01,96.23
2006-10-01,96.19
2006-11-01,95.88
2006-12-01,95.93
2007-01-01,96.5
2007-02-01,96.28
2007-03-01,95.21
2007-04-01,95.13
2007-05-01,95.03
2007-06-01,94.88
2007-07-01,94.9
2007-08-01,94.94
2007-09-01,94.7
2007-10-01,94.26
2007-11-01,94.15
2007-12-01,93.83
2008-01-01,93.7
2008-02-01,93.29
2008-03-01,93.75
2008-04-01,93.61
2008-05-01,93.4
2008-06-01,93.07
2008-07-01,92.78
2008-08-01,92.57
2008-09-01,92.3
2008-10-01,92.24
2008-11-01,92.22
2008-12-01,92.11
2009-01-01,91.96
2009-02-01,92.01
2009-03-01,92.05
2009-04-01,92.12
2009-05-01,92.43
2009-06-01,92.23
2009-07-01,92.04
2009-08-01,91.92
2009-09-01,92.03
2009-10-01,91.96
2009-11-01,91.55
2009-12-01,91.4
2010-01-01,91.16
2010-02-01,91.64
2010-03-01,91.73
2010-04-01,91.57
2010-05-01,91.42
2010-06-01,91.28
2010-07-01,91.24
2010-08-01,91.43
2010-09-01,91.26
2010-10-01,91.02
2010-11-01,90.83
2010-12-01,90.8
2011-01-01,91.01
2011-02-01,91.32
2011-03-01,91.16
2011-04-01,90.8
2011-05-01,90.5
2011-06-01,90.14
2011-07-01,89.74
2011-08-01,89.74
2011-09-01,89.5
2011-10-01,89.31
2011-11-01,89.29
2011-12-01,89.08
2012-01-01,88.86
2012-02-01,88.59
2012-03-01,88.6
2012-04-01,87.99
2012-05-01,87.51
2012-06-01,87.65
2012-07-01,86.98
2012-08-01,86.99
2012-09-01,86.59
2012-10-01,86.21
2012-11-01,85.63
2012-12-01,85.69
2013-01-01,85.28
2013-02-01,84.36
2013-03-01,84.15
2013-04-01,83.8
2013-05-01,83.84
2013-06-01,83.64
2013-07-01,83.47
2013-08-01,83.28
2013-09-01,83.5
2013-10-01,82.79
2013-11-01,82.81
2013-12-01,82.81
2014-01-01,82.53
2014-02-01,82.35
2014-03-01,82.13
2014-04-01,81.65
2014-05-01,81.41
2014-06-01,81.24
2014-07-01,81.02
2014-08-01,80.85
2014-09-01,80.7
2014-10-01,80.63
2014-11-01,80.73
2014-12-01,80.68
2015-01-01,80.77
2015-02-01,80.81
2015-03-01,80.7
2015-04-01,80.71
2015-05-01,80.73
2015-06-01,80.62
2015-07-01,80.46
2015-08-01,80.56
2015-09-01,80.62
2015-10-01,80.57
2015-11-01,80.52
2015-12-01,80.6
