DATE,VALUE
1976-01-01,17.0
1977-01-01,18.5
1978-01-01,20.5
1979-01-01,23.5
1980-01-01,26.0
1981-01-01,28.5
1982-01-01,27.2
1983-01-01,27.9
1984-01-01,30.7
1985-01-01,28.4
1986-01-01,30.8
1987-01-01,36.1
1988-01-01,42.6
1989-01-01,46.8
1990-01-01,51.2
1991-01-01,54.1
1992-01-01,55.4
1993-01-01,60.8
1994-01-01,68.5
1995-01-01,75.4
1996-01-01,77.4
1997-01-01,80.8
1998-01-01,80.2
1999-01-01,90.6
2000-01-01,104.4
2001-01-01,92.2
2002-01-01,100.0
2003-01-01,102.9
2004-01-01,117.2
2005-01-01,128.3
2006-01-01,143.6
2007-01-01,152.2
2008-01-01,145.8
2009-01-01,139.7
2010-01-01,181.2
2011-01-01,195.0
