DATE,VALUE
1990-01-01,325.0
1990-02-01,327.6
1990-03-01,328.5
1990-04-01,329.2
1990-05-01,329.8
1990-06-01,329.8
1990-07-01,328.0
1990-08-01,328.8
1990-09-01,330.5
1990-10-01,327.0
1990-11-01,325.2
1990-12-01,325.7
1991-01-01,321.7
1991-02-01,321.1
1991-03-01,320.5
1991-04-01,315.1
1991-05-01,314.9
1991-06-01,315.2
1991-07-01,314.4
1991-08-01,314.8
1991-09-01,314.5
1991-10-01,312.9
1991-11-01,314.7
1991-12-01,314.2
1992-01-01,315.8
1992-02-01,314.8
1992-03-01,314.5
1992-04-01,313.3
1992-05-01,313.0
1992-06-01,312.8
1992-07-01,313.6
1992-08-01,313.5
1992-09-01,313.9
1992-10-01,314.7
1992-11-01,315.0
1992-12-01,316.4
1993-01-01,316.8
1993-02-01,317.5
1993-03-01,315.5
1993-04-01,317.6
1993-05-01,318.7
1993-06-01,318.7
1993-07-01,319.7
1993-08-01,319.9
1993-09-01,319.9
1993-10-01,321.4
1993-11-01,321.8
1993-12-01,321.9
1994-01-01,322.3
1994-02-01,321.2
1994-03-01,323.7
1994-04-01,325.0
1994-05-01,325.2
1994-06-01,325.8
1994-07-01,326.3
1994-08-01,326.9
1994-09-01,328.4
1994-10-01,328.3
1994-11-01,329.2
1994-12-01,329.6
1995-01-01,331.6
1995-02-01,332.5
1995-03-01,333.5
1995-04-01,334.5
1995-05-01,335.0
1995-06-01,335.8
1995-07-01,334.3
1995-08-01,336.0
1995-09-01,337.1
1995-10-01,337.2
1995-11-01,337.1
1995-12-01,338.3
1996-01-01,335.2
1996-02-01,338.1
1996-03-01,338.7
1996-04-01,340.3
1996-05-01,341.7
1996-06-01,344.4
1996-07-01,343.5
1996-08-01,344.5
1996-09-01,344.6
1996-10-01,346.0
1996-11-01,347.1
1996-12-01,346.8
1997-01-01,348.0
1997-02-01,348.3
1997-03-01,349.2
1997-04-01,348.9
1997-05-01,349.8
1997-06-01,351.1
1997-07-01,352.0
1997-08-01,351.3
1997-09-01,354.5
1997-10-01,354.6
1997-11-01,355.1
1997-12-01,357.1
1998-01-01,357.1
1998-02-01,357.7
1998-03-01,358.0
1998-04-01,358.5
1998-05-01,359.4
1998-06-01,358.4
1998-07-01,360.7
1998-08-01,362.6
1998-09-01,362.2
1998-10-01,363.4
1998-11-01,365.6
1998-12-01,365.3
1999-01-01,365.2
1999-02-01,365.8
1999-03-01,366.6
1999-04-01,367.0
1999-05-01,366.8
1999-06-01,367.0
1999-07-01,368.0
1999-08-01,367.3
1999-09-01,368.4
1999-10-01,370.0
1999-11-01,371.3
1999-12-01,372.1
2000-01-01,373.5
2000-02-01,373.1
2000-03-01,376.1
2000-04-01,377.7
2000-05-01,377.7
2000-06-01,378.6
2000-07-01,379.4
2000-08-01,378.5
2000-09-01,381.5
2000-10-01,380.9
2000-11-01,381.1
2000-12-01,384.4
2001-01-01,380.0
2001-02-01,379.3
2001-03-01,378.9
2001-04-01,378.2
2001-05-01,379.3
2001-06-01,379.8
2001-07-01,378.8
2001-08-01,380.4
2001-09-01,378.2
2001-10-01,380.1
2001-11-01,379.9
2001-12-01,381.1
2002-01-01,380.8
2002-02-01,381.1
2002-03-01,380.8
2002-04-01,380.9
2002-05-01,380.6
2002-06-01,380.6
2002-07-01,381.1
2002-08-01,380.4
2002-09-01,380.4
2002-10-01,382.0
2002-11-01,382.7
2002-12-01,382.5
2003-01-01,385.7
2003-02-01,384.7
2003-03-01,384.8
2003-04-01,385.3
2003-05-01,385.3
2003-06-01,385.0
2003-07-01,386.0
2003-08-01,386.2
