DATE,VALUE
2007-01-01,14.58
2007-02-01,14.68
2007-03-01,14.64
2007-04-01,15.1
2007-05-01,15.6
2007-06-01,16.1
2007-07-01,16.5
2007-08-01,16.5
2007-09-01,16.72
2007-10-01,16.75
2007-11-01,17.0
2007-12-01,17.0
2008-01-01,17.25
2008-02-01,17.6
2008-03-01,17.95
2008-04-01,17.69
2008-05-01,17.8
2008-06-01,17.89
2008-07-01,17.4
2008-08-01,17.64
2008-09-01,17.51
2008-10-01,17.56
2008-11-01,17.05
2008-12-01,17.5
2009-01-01,17.35
2009-02-01,17.49
2009-03-01,17.87
2009-04-01,17.87
2009-05-01,17.6
2009-06-01,17.65
2009-07-01,17.81
2009-08-01,17.91
2009-09-01,18.02
2009-10-01,18.1
2009-11-01,18.0
2009-12-01,18.2
2010-01-01,18.1
2010-02-01,18.3
2010-03-01,18.36
2010-04-01,18.46
2010-05-01,19.0
2010-06-01,19.06
2010-07-01,19.27
2010-08-01,19.47
2010-09-01,19.46
2010-10-01,19.46
2010-11-01,19.46
2010-12-01,19.47
2011-01-01,19.67
2011-02-01,19.9
2011-03-01,20.61
2011-04-01,20.53
2011-05-01,20.8
2011-06-01,20.49
2011-07-01,20.66
2011-08-01,20.5
2011-09-01,21.04
2011-10-01,21.26
2011-11-01,21.79
2011-12-01,21.76
2012-01-01,21.84
2012-02-01,22.28
2012-03-01,22.34
2012-04-01,21.45
2012-05-01,22.49
2012-06-01,22.96
2012-07-01,23.39
2012-08-01,22.77
2012-09-01,22.08
2012-10-01,21.87
2012-11-01,21.85
2012-12-01,22.43
2013-01-01,22.03
2013-02-01,22.31
2013-03-01,22.47
2013-04-01,22.13
2013-05-01,22.17
2013-06-01,22.59
2013-07-01,22.32
2013-08-01,22.57
2013-09-01,22.9
2013-10-01,22.32
2013-11-01,22.94
2013-12-01,22.32
2014-01-01,22.96
2014-02-01,22.7
2014-03-01,24.28
2014-04-01,22.63
2014-05-01,22.25
2014-06-01,21.91
2014-07-01,22.43
2014-08-01,23.32
2014-09-01,23.46
2014-10-01,23.6
2014-11-01,23.09
2014-12-01,22.14
2015-01-01,22.49
2015-02-01,22.23
2015-03-01,22.32
2015-04-01,22.66
2015-05-01,22.78
2015-06-01,22.57
2015-07-01,22.15
2015-08-01,22.71
2015-09-01,23.07
2015-10-01,23.41
2015-11-01,23.55
2015-12-01,23.28
2016-01-01,23.62
2016-02-01,24.0
2016-03-01,23.12
2016-04-01,23.13
2016-05-01,23.66
