DATE,VALUE
2003-01-01,352.0
2003-02-01,358.1
2003-03-01,357.9
2003-04-01,358.9
2003-05-01,359.3
2003-06-01,360.1
2003-07-01,361.4
2003-08-01,363.4
2003-09-01,366.8
2003-10-01,366.5
2003-11-01,372.9
2003-12-01,369.0
2004-01-01,369.7
2004-02-01,371.4
2004-03-01,373.2
2004-04-01,371.6
2004-05-01,376.5
2004-06-01,373.7
2004-07-01,372.0
2004-08-01,374.0
2004-09-01,372.7
2004-10-01,371.7
2004-11-01,376.7
2004-12-01,376.7
2005-01-01,380.6
2005-02-01,384.7
2005-03-01,386.1
2005-04-01,387.6
2005-05-01,391.1
2005-06-01,392.8
2005-07-01,394.4
2005-08-01,396.2
2005-09-01,399.5
2005-10-01,401.6
2005-11-01,401.0
2005-12-01,405.6
2006-01-01,406.5
2006-02-01,405.7
2006-03-01,404.7
2006-04-01,411.7
2006-05-01,410.5
2006-06-01,412.7
2006-07-01,416.5
2006-08-01,417.3
2006-09-01,418.0
2006-10-01,422.1
2006-11-01,421.8
2006-12-01,422.8
2007-01-01,428.0
2007-02-01,425.0
2007-03-01,426.6
2007-04-01,429.9
2007-05-01,426.8
2007-06-01,431.7
2007-07-01,434.3
2007-08-01,431.7
2007-09-01,433.0
2007-10-01,434.2
2007-11-01,435.5
2007-12-01,437.0
2008-01-01,438.3
2008-02-01,438.0
2008-03-01,440.8
2008-04-01,445.0
2008-05-01,444.0
2008-06-01,449.1
2008-07-01,450.2
2008-08-01,450.9
2008-09-01,454.7
2008-10-01,454.3
2008-11-01,455.8
2008-12-01,456.0
2009-01-01,453.8
2009-02-01,456.6
2009-03-01,457.6
2009-04-01,455.1
2009-05-01,459.2
2009-06-01,456.6
2009-07-01,459.1
2009-08-01,465.4
2009-09-01,466.9
2009-10-01,471.5
2009-11-01,472.3
2009-12-01,475.0
2010-01-01,475.6
2010-02-01,480.0
2010-03-01,480.6
2010-04-01,479.0
2010-05-01,483.7
2010-06-01,485.2
2010-07-01,485.4
2010-08-01,487.5
2010-09-01,484.9
2010-10-01,487.2
2010-11-01,487.1
2010-12-01,490.5
2011-01-01,495.3
2011-02-01,495.1
2011-03-01,493.0
2011-04-01,495.0
2011-05-01,496.7
2011-06-01,493.3
2011-07-01,494.7
2011-08-01,492.3
2011-09-01,490.5
2011-10-01,483.8
2011-11-01,485.9
2011-12-01,486.1
2012-01-01,500.4
2012-02-01,493.5
2012-03-01,495.8
2012-04-01,500.7
2012-05-01,495.6
2012-06-01,504.9
2012-07-01,509.9
2012-08-01,502.5
2012-09-01,518.0
2012-10-01,510.6
2012-11-01,518.2
2012-12-01,516.8
2013-01-01,512.5
2013-02-01,513.2
2013-03-01,515.6
2013-04-01,516.9
2013-05-01,515.4
2013-06-01,520.3
2013-07-01,510.2
2013-08-01,512.5
2013-09-01,516.0
2013-10-01,518.8
2013-11-01,519.0
2013-12-01,524.0
2014-01-01,520.7
2014-02-01,522.5
2014-03-01,525.2
2014-04-01,527.0
2014-05-01,534.3
2014-06-01,538.1
2014-07-01,540.5
2014-08-01,539.1
2014-09-01,536.9
2014-10-01,546.1
2014-11-01,547.8
2014-12-01,545.6
2015-01-01,550.6
2015-02-01,548.6
2015-03-01,551.1
2015-04-01,547.6
2015-05-01,545.9
2015-06-01,544.5
2015-07-01,548.5
2015-08-01,554.4
2015-09-01,554.0
2015-10-01,553.5
2015-11-01,555.5
2015-12-01,554.2
2016-01-01,554.0
2016-02-01,557.7
2016-03-01,556.6
2016-04-01,560.3
