DATE,VALUE
1987-10-01,28947.0
1988-01-01,47139.0
1988-04-01,45081.0
1988-07-01,41556.0
1988-10-01,36763.0
1989-01-01,39545.0
1989-04-01,38628.0
1989-07-01,35298.0
1989-10-01,35248.0
1990-01-01,39371.0
1990-04-01,37147.0
1990-07-01,45836.0
1990-10-01,36650.0
1991-01-01,31078.0
1991-04-01,32688.0
1991-07-01,35026.0
1991-10-01,32382.0
1992-01-01,32951.0
1992-04-01,32243.0
1992-07-01,29163.0
1992-10-01,34332.0
1993-01-01,37407.0
1993-04-01,38406.0
1993-07-01,37940.0
1993-10-01,35569.0
1994-01-01,33396.0
1994-04-01,36470.0
1994-07-01,41237.0
1994-10-01,41777.0
1995-01-01,42739.0
1995-04-01,47203.0
1995-07-01,48273.0
1995-10-01,51054.0
1996-01-01,50547.0
1996-04-01,56298.19
1996-07-01,55018.43
1996-10-01,54556.64
1997-01-01,72739.66
1997-04-01,65718.75
1997-07-01,74747.88
1997-10-01,63125.81
1998-01-01,60637.57
1998-04-01,54801.0
1998-07-01,51214.37
1998-10-01,53998.11
1999-01-01,52649.61
1999-04-01,51813.01
1999-07-01,70077.56
1999-10-01,112456.6
2000-01-01,132550.97
2000-04-01,123891.38
2000-07-01,133032.95
2000-10-01,138582.03
2001-01-01,137865.0
2001-04-01,140645.5
2001-07-01,142965.28
2001-10-01,156514.75
2002-01-01,142518.41
2002-04-01,150993.83
2002-07-01,162297.67
2002-10-01,179568.95
2003-01-01,178907.38
2003-04-01,200645.94
2003-07-01,198421.91
2003-10-01,202829.5
2004-01-01,211789.17
2004-04-01,234641.03
2004-07-01,244070.36
2004-10-01,257693.98
2005-01-01,254397.08
2005-04-01,259992.64
2005-07-01,271006.66
2005-10-01,312241.0
2006-01-01,319006.78
2006-04-01,327444.63
2006-07-01,336691.56
2006-10-01,338536.38
2007-01-01,327019.72
2007-04-01,344452.44
2007-07-01,327807.13
2007-10-01,321433.41
2008-01-01,328661.5
2008-04-01,319914.44
2008-07-01,324825.5
2008-10-01,313046.41
2009-01-01,303178.16
2009-04-01,285032.94
2009-07-01,279264.78
2009-10-01,280451.22
2010-01-01,277339.56
2010-04-01,273519.31
2010-07-01,272505.09
2010-10-01,175687.91
2011-01-01,172675.68
2011-04-01,170967.27
2011-07-01,168095.97
2011-10-01,163721.46
2012-01-01,157086.79
2012-04-01,151013.11
2012-07-01,150439.41
2012-10-01,162821.5
2013-01-01,160439.96
2013-04-01,162643.21
2013-07-01,163014.24
2013-10-01,161775.95
2014-01-01,167016.11
2014-04-01,165075.75
2014-07-01,162434.32
2014-10-01,162732.08
2015-01-01,159646.15
2015-04-01,153113.23
2015-07-01,152479.8
2015-10-01,156053.96
2016-01-01,146722.99
2016-04-01,146974.81
