DATE,VALUE
1996-01-01,31.2797393355
1996-02-01,23.9498004183
1996-03-01,27.6697694186
1996-04-01,25.9697835851
1996-05-01,34.8597095024
1996-06-01,31.9697335856
1996-07-01,35.2897059191
1996-08-01,36.2396980025
1996-09-01,25.2797893351
1996-10-01,36.0796993358
1996-11-01,30.5297455855
1996-12-01,41.9796501696
1997-01-01,14.219881501
1997-02-01,29.8797510021
1997-03-01,28.7297605853
1997-04-01,37.2596895026
1997-05-01,41.0596578362
1997-06-01,40.7496604195
1997-07-01,35.5097040858
1997-08-01,37.7496854193
1997-09-01,36.0196998358
1997-10-01,35.3397055025
1997-11-01,51.6295697536
1997-12-01,44.2396313364
1998-01-01,28.9897584187
1998-02-01,31.9997333356
1998-03-01,32.1497320856
1998-04-01,43.2196398363
1998-05-01,26.2497812518
1998-06-01,38.209681586
1998-07-01,34.9997083358
1998-08-01,44.1896317531
1998-09-01,41.8896509196
1998-10-01,52.369563587
1998-11-01,42.5196456696
1998-12-01,49.5695869201
1999-01-01,34.9197090024
1999-02-01,30.5897450855
1999-03-01,41.5196540029
1999-04-01,41.6996525029
1999-05-01,41.5396538362
1999-06-01,42.1396488363
1999-07-01,56.0395330039
1999-08-01,50.0695827535
1999-09-01,52.9195590037
1999-10-01,43.4796376697
1999-11-01,47.1696069199
1999-12-01,41.1096574195
2000-01-01,52.3795635036
2000-02-01,61.7894850876
2000-03-01,56.5095290873
2000-04-01,62.0394830043
2000-05-01,80.3293305889
2000-06-01,52.4195631703
2000-07-01,49.3895884201
2000-08-01,47.7596020033
2000-09-01,59.6595028375
2000-10-01,61.3794885043
2000-11-01,62.199481671
2000-12-01,59.2095065874
2001-01-01,73.9493837551
2001-02-01,90.639244673
2001-03-01,77.3393555054
2001-04-01,51.2795726702
2001-05-01,58.9695085874
2001-06-01,66.2494479213
2001-07-01,36.3396971692
2001-08-01,53.6895525871
2001-09-01,68.7494270881
2001-10-01,55.4095382538
2001-11-01,55.2395396705
2001-12-01,63.0194748377
2002-01-01,53.7695519204
2002-02-01,51.9295672536
2002-03-01,57.899517504
2002-04-01,66.2494479213
2002-05-01,61.0094915876
2002-06-01,53.3995550037
2002-07-01,59.2095065874
2002-08-01,67.1494404213
2002-09-01,55.1995400038
2002-10-01,51.2795726702
2002-11-01,64.5794618378
2002-12-01,64.9394588378
2003-01-01,66.9094424213
2003-02-01,98.0891825901
2003-03-01,69.6494195882
2003-04-01,72.7593936717
2003-05-01,81.3893217557
2003-06-01,86.429279756
2003-07-01,64.8994591712
2003-08-01,79.3093390888
2003-09-01,78.5293455888
2003-10-01,95.7992016733
2003-11-01,71.8994008383
2003-12-01,79.8793343389
2004-01-01,88.9592586728
2004-02-01,88.0192665061
2004-03-01,93.2592228398
2004-04-01,86.7992766727
2004-05-01,88.2692644228
2004-06-01,88.2692644228
2004-07-01,89.5392538396
2004-08-01,96.9391921734
2004-09-01,99.2391730069
2004-10-01,109.139090508
2004-11-01,110.819076508
2004-12-01,94.1192156732
2005-01-01,110.859076174
2005-02-01,91.869234423
2005-03-01,98.9891750902
2005-04-01,103.939133841
2005-05-01,94.6892109232
2005-06-01,104.679127674
2005-07-01,149.60875326
2005-08-01,90.0292497563
2005-09-01,123.988966759
2005-10-01,116.869026091
2005-11-01,125.748952092
2005-12-01,137.24885626
2006-01-01,90.849242923
2006-02-01,114.789043425
2006-03-01,123.048974592
2006-04-01,153.578720177
2006-05-01,156.808693261
2006-06-01,140.808826593
2006-07-01,172.198565012
2006-08-01,143.508804093
2006-09-01,135.288872593
2006-10-01,141.74881876
2006-11-01,176.288530929
2006-12-01,333.467221106
2007-01-01,100.949158757
2007-02-01,75.0093749219
2007-03-01,102.179148507
2007-04-01,102.999141674
2007-05-01,114.089049258
2007-06-01,125.838951342
2007-07-01,101.279156007
2007-08-01,124.398963342
2007-09-01,107.829101424
2007-10-01,97.9691835901
2007-11-01,84.8692927559
2007-12-01,92.9792251731
2008-01-01,106.849109591
2008-02-01,114.249047925
2008-03-01,86.429279756
2008-04-01,96.2091982567
2008-05-01,71.2894059216
2008-06-01,73.9893834218
2008-07-01,71.5694035883
2008-08-01,70.2194148382
2008-09-01,84.4992958392
2008-10-01,126.408946592
2008-11-01,80.2893309222
2008-12-01,59.9895000875
2009-01-01,50.2495812535
2009-02-01,77.3393555054
2009-03-01,86.3492804227
2009-04-01,56.8795260039
2009-05-01,70.6694110882
2009-06-01,73.6593861718
2009-07-01,67.9294339214
2009-08-01,87.9792668394
2009-09-01,77.8293514221
2009-10-01,91.1292405897
2009-11-01,77.9193506721
2009-12-01,95.0992075066
2010-01-01,120.638994675
2010-02-01,93.2192231731
2010-03-01,79.6793360055
2010-04-01,73.5393871718
2010-05-01,120.388996758
2010-06-01,97.6391863401
2010-07-01,126.238948009
2010-08-01,103.489137591
2010-09-01,86.429279756
2010-10-01,90.639244673
2010-11-01,88.0192665061
2010-12-01,120.068999425
2011-01-01,117.079024341
2011-02-01,76.359363672
2011-03-01,132.218898176
2011-04-01,132.058899509
2011-05-01,93.6692194232
2011-06-01,109.219089841
2011-07-01,93.4292214232
2011-08-01,69.6494195882
2011-09-01,98.3391805068
2011-10-01,100.99915834
2011-11-01,97.5991866734
2011-12-01,74.5593786718
2012-01-01,72.6793943384
2012-02-01,86.8392763394
2012-03-01,68.4594295048
2012-04-01,91.6692360897
2012-05-01,94.7292105899
2012-06-01,85.5292872559
2012-07-01,86.429279756
2012-08-01,87.9392671728
2012-09-01,96.28919759
2012-10-01,88.9592586728
2012-11-01,90.0292497563
2012-12-01,103.659136174
2013-01-01,104.149132091
2013-02-01,106.069116091
2013-03-01,116.099032508
2013-04-01,97.5191873401
2013-05-01,82.6193115057
2013-06-01,115.199040008
2013-07-01,145.308789093
2013-08-01,112.369063591
2013-09-01,102.13914884
2013-10-01,119.119007342
2013-11-01,132.788893426
2013-12-01,110.489079258
2014-01-01,114.459046175
2014-02-01,96.9891917567
2014-03-01,125.428954759
2014-04-01,129.308922426
2014-05-01,115.769035258
2014-06-01,103.699135841
2014-07-01,146.00878326
2014-08-01,219.378171849
2014-09-01,147.318772344
2014-10-01,119.169006925
2014-11-01,119.489004258
2014-12-01,129.108924092
2015-01-01,136.478862676
