DATE,VALUE
1990-01-01,66876.0
1990-02-01,66990.0
1990-03-01,67538.0
1990-04-01,68036.0
1990-05-01,69420.0
1990-06-01,70360.0
1990-07-01,71341.0
1990-08-01,70593.0
1990-09-01,69292.0
1990-10-01,69675.0
1990-11-01,69217.0
1990-12-01,69128.0
1991-01-01,68289.0
1991-02-01,68782.0
1991-03-01,69123.0
1991-04-01,69130.0
1991-05-01,69205.0
1991-06-01,71072.0
1991-07-01,71538.0
1991-08-01,70510.0
1991-09-01,70466.0
1991-10-01,70394.0
1991-11-01,70128.0
1991-12-01,70484.0
1992-01-01,69499.0
1992-02-01,69499.0
1992-03-01,69898.0
1992-04-01,71039.0
1992-05-01,71725.0
1992-06-01,73878.0
1992-07-01,73605.0
1992-08-01,72317.0
1992-09-01,72465.0
1992-10-01,72314.0
1992-11-01,72912.0
1992-12-01,72627.0
1993-01-01,70329.0
1993-02-01,71012.0
1993-03-01,71656.0
1993-04-01,71557.0
1993-05-01,72353.0
1993-06-01,74244.0
1993-07-01,72581.0
1993-08-01,72390.0
1993-09-01,72831.0
1993-10-01,73728.0
1993-11-01,74323.0
1993-12-01,74843.0
1994-01-01,72673.0
1994-02-01,73131.0
1994-03-01,72873.0
1994-04-01,73120.0
1994-05-01,74322.0
1994-06-01,75748.0
1994-07-01,74345.0
1994-08-01,74633.0
1994-09-01,74890.0
1994-10-01,75932.0
1994-11-01,76606.0
1994-12-01,75983.0
1995-01-01,75740.0
1995-02-01,76195.0
1995-03-01,76201.0
1995-04-01,76347.0
1995-05-01,76816.0
1995-06-01,77362.0
1995-07-01,77965.0
1995-08-01,76949.0
1995-09-01,75075.0
1995-10-01,76161.0
1995-11-01,75322.0
1995-12-01,74859.0
1996-01-01,75915.0
1996-02-01,76042.0
1996-03-01,75985.0
1996-04-01,76019.0
1996-05-01,75808.0
1996-06-01,77310.0
1996-07-01,78258.0
1996-08-01,76706.0
1996-09-01,75713.0
1996-10-01,76975.0
1996-11-01,76734.0
1996-12-01,76755.0
1997-01-01,76540.0
1997-02-01,76282.0
1997-03-01,76966.0
1997-04-01,76520.0
1997-05-01,76818.0
1997-06-01,77680.0
1997-07-01,76301.0
1997-08-01,75694.0
1997-09-01,75450.0
1997-10-01,75544.0
1997-11-01,75801.0
1997-12-01,75882.0
1998-01-01,74091.0
1998-02-01,74363.0
1998-03-01,75199.0
1998-04-01,74256.0
1998-05-01,74591.0
1998-06-01,75795.0
1998-07-01,75455.0
1998-08-01,75159.0
1998-09-01,75412.0
1998-10-01,76294.0
1998-11-01,76407.0
1998-12-01,76933.0
1999-01-01,76169.0
1999-02-01,76300.0
1999-03-01,76275.0
1999-04-01,75809.0
1999-05-01,75947.0
1999-06-01,76969.0
1999-07-01,76126.0
1999-08-01,75478.0
1999-09-01,74612.0
1999-10-01,74925.0
1999-11-01,74999.0
1999-12-01,74426.0
2000-01-01,72718.0
2000-02-01,73082.0
2000-03-01,73276.0
2000-04-01,72464.0
2000-05-01,72684.0
2000-06-01,73573.0
2000-07-01,72785.0
2000-08-01,72266.0
2000-09-01,71650.0
2000-10-01,72066.0
2000-11-01,72523.0
2000-12-01,72348.0
2001-01-01,72910.0
2001-02-01,73002.0
2001-03-01,73452.0
2001-04-01,72988.0
2001-05-01,72961.0
2001-06-01,72969.0
2001-07-01,73237.0
2001-08-01,72752.0
2001-09-01,73094.0
2001-10-01,73753.0
2001-11-01,73949.0
2001-12-01,74038.0
2002-01-01,73343.0
2002-02-01,74616.0
2002-03-01,74161.0
2002-04-01,73780.0
2002-05-01,74329.0
2002-06-01,74444.0
2002-07-01,74808.0
2002-08-01,74073.0
2002-09-01,74196.0
2002-10-01,74148.0
2002-11-01,73751.0
2002-12-01,73932.0
2003-01-01,73880.0
2003-02-01,74233.0
2003-03-01,74237.0
2003-04-01,73878.0
2003-05-01,74042.0
2003-06-01,75621.0
2003-07-01,74390.0
2003-08-01,73935.0
2003-09-01,73812.0
2003-10-01,74016.0
2003-11-01,74091.0
2003-12-01,73734.0
2004-01-01,72014.0
2004-02-01,71721.0
2004-03-01,72014.0
2004-04-01,71495.0
2004-05-01,71307.0
2004-06-01,72576.0
2004-07-01,72024.0
2004-08-01,71775.0
2004-09-01,70816.0
2004-10-01,71071.0
2004-11-01,71157.0
2004-12-01,70976.0
2005-01-01,70577.0
2005-02-01,70562.0
2005-03-01,70452.0
2005-04-01,71059.0
2005-05-01,71542.0
2005-06-01,72096.0
2005-07-01,71957.0
2005-08-01,72186.0
2005-09-01,71211.0
2005-10-01,71996.0
2005-11-01,71866.0
2005-12-01,72252.0
2006-01-01,72380.0
2006-02-01,72724.0
2006-03-01,73259.0
2006-04-01,73706.0
2006-05-01,74098.0
2006-06-01,75240.0
2006-07-01,75474.0
2006-08-01,75369.0
2006-09-01,74354.0
2006-10-01,75151.0
2006-11-01,74851.0
2006-12-01,74883.0
2007-01-01,74122.0
2007-02-01,74024.0
2007-03-01,74189.0
2007-04-01,73841.0
2007-05-01,74078.0
2007-06-01,74564.0
2007-07-01,74644.0
2007-08-01,74003.0
2007-09-01,73677.0
2007-10-01,73971.0
2007-11-01,73959.0
2007-12-01,73319.0
2008-01-01,74123.0
2008-02-01,73854.0
2008-03-01,74298.0
2008-04-01,74301.0
2008-05-01,74514.0
2008-06-01,75688.0
2008-07-01,75502.0
2008-08-01,74738.0
2008-09-01,74373.0
2008-10-01,75101.0
2008-11-01,74520.0
2008-12-01,74569.0
2009-01-01,74572.0
2009-02-01,74855.0
2009-03-01,75378.0
2009-04-01,75613.0
2009-05-01,75631.0
2009-06-01,76374.0
2009-07-01,76064.0
2009-08-01,74963.0
2009-09-01,74231.0
2009-10-01,74072.0
2009-11-01,74023.0
2009-12-01,74087.0
2010-01-01,72709.0
2010-02-01,72947.0
2010-03-01,73364.0
2010-04-01,73800.0
2010-05-01,73478.0
2010-06-01,73770.0
2010-07-01,74000.0
2010-08-01,74074.0
2010-09-01,73768.0
2010-10-01,73840.0
2010-11-01,74002.0
2010-12-01,73891.0
2011-01-01,74048.0
2011-02-01,74253.0
2011-03-01,74203.0
2011-04-01,74783.0
2011-05-01,74959.0
2011-06-01,75441.0
2011-07-01,74981.0
2011-08-01,74973.0
2011-09-01,75019.0
2011-10-01,74605.0
2011-11-01,74332.0
2011-12-01,74165.0
2012-01-01,73227.0
2012-02-01,73171.0
2012-03-01,72928.0
2012-04-01,72687.0
2012-05-01,73268.0
2012-06-01,74217.0
2012-07-01,73623.0
2012-08-01,72735.0
2012-09-01,72813.0
2012-10-01,72872.0
2012-11-01,72200.0
2012-12-01,72261.0
2013-01-01,72481.0
2013-02-01,72085.0
2013-03-01,72406.0
2013-04-01,71669.0
2013-05-01,72420.0
2013-06-01,73379.0
2013-07-01,72512.0
2013-08-01,71480.0
2013-09-01,71446.0
2013-10-01,70906.0
2013-11-01,70250.0
2013-12-01,69838.0
2014-01-01,69789.0
2014-02-01,70260.0
2014-03-01,71221.0
2014-04-01,69802.0
2014-05-01,70414.0
2014-06-01,71262.0
2014-07-01,70906.0
2014-08-01,70074.0
2014-09-01,69735.0
2014-10-01,69567.0
2014-11-01,69140.0
2014-12-01,68786.0
2015-01-01,68976.0
2015-02-01,68853.0
2015-03-01,68927.0
2015-04-01,69064.0
2015-05-01,69488.0
2015-06-01,69899.0
2015-07-01,69541.0
2015-08-01,68706.0
2015-09-01,68870.0
2015-10-01,69146.0
2015-11-01,69152.0
2015-12-01,69034.0
2016-01-01,69404.0
2016-02-01,70163.0
2016-03-01,70271.0
2016-04-01,70181.0
2016-05-01,70472.0
2016-06-01,71279.0
2016-07-01,71175.0
2016-08-01,70682.0
