DATE,VALUE
1990-01-01,285.4
1990-02-01,289.3
1990-03-01,289.8
1990-04-01,290.2
1990-05-01,290.1
1990-06-01,290.3
1990-07-01,293.0
1990-08-01,288.6
1990-09-01,288.7
1990-10-01,286.8
1990-11-01,284.1
1990-12-01,282.5
1991-01-01,283.4
1991-02-01,280.7
1991-03-01,277.7
1991-04-01,278.9
1991-05-01,277.4
1991-06-01,281.7
1991-07-01,281.7
1991-08-01,281.1
1991-09-01,281.7
1991-10-01,281.6
1991-11-01,281.4
1991-12-01,281.6
1992-01-01,279.5
1992-02-01,281.9
1992-03-01,282.3
1992-04-01,282.6
1992-05-01,283.6
1992-06-01,282.3
1992-07-01,282.3
1992-08-01,282.8
1992-09-01,282.3
1992-10-01,282.8
1992-11-01,284.2
1992-12-01,284.8
1993-01-01,286.7
1993-02-01,286.5
1993-03-01,286.6
1993-04-01,287.8
1993-05-01,288.9
1993-06-01,290.7
1993-07-01,291.6
1993-08-01,292.8
1993-09-01,294.3
1993-10-01,295.3
1993-11-01,297.1
1993-12-01,296.6
1994-01-01,297.8
1994-02-01,298.0
1994-03-01,298.8
1994-04-01,299.6
1994-05-01,301.7
1994-06-01,301.6
1994-07-01,302.6
1994-08-01,302.5
1994-09-01,303.4
1994-10-01,303.8
1994-11-01,304.7
1994-12-01,305.2
1995-01-01,303.5
1995-02-01,305.4
1995-03-01,306.5
1995-04-01,306.8
1995-05-01,306.6
1995-06-01,307.2
1995-07-01,307.0
1995-08-01,307.7
1995-09-01,309.0
1995-10-01,309.1
1995-11-01,308.5
1995-12-01,309.0
1996-01-01,309.4
1996-02-01,310.6
1996-03-01,311.3
1996-04-01,310.2
1996-05-01,310.9
1996-06-01,312.5
1996-07-01,313.5
1996-08-01,313.4
1996-09-01,312.1
1996-10-01,313.0
1996-11-01,312.6
1996-12-01,315.1
1997-01-01,315.6
1997-02-01,315.7
1997-03-01,316.0
1997-04-01,315.4
1997-05-01,315.8
1997-06-01,316.7
1997-07-01,316.1
1997-08-01,317.2
1997-09-01,316.1
1997-10-01,317.9
1997-11-01,319.2
1997-12-01,318.6
1998-01-01,319.6
