DATE,VALUE
1988-01-01,215.0
1988-02-01,297.0
1988-03-01,301.0
1988-04-01,319.0
1988-05-01,275.0
1988-06-01,320.0
1988-07-01,275.0
1988-08-01,208.0
1988-09-01,221.0
1988-10-01,202.0
1988-11-01,262.0
1988-12-01,240.0
1989-01-01,221.0
1989-02-01,127.0
1989-03-01,206.0
1989-04-01,218.0
1989-05-01,241.0
1989-06-01,189.0
1989-07-01,234.0
1989-08-01,263.0
1989-09-01,152.0
1989-10-01,230.0
1989-11-01,196.0
1989-12-01,192.0
1990-01-01,218.0
1990-02-01,193.0
1990-03-01,186.0
1990-04-01,156.0
1990-05-01,251.0
1990-06-01,186.0
1990-07-01,121.0
1990-08-01,167.0
1990-09-01,180.0
1990-10-01,188.0
1990-11-01,148.0
1990-12-01,181.0
1991-01-01,179.0
1991-02-01,167.0
1991-03-01,202.0
1991-04-01,231.0
1991-05-01,209.0
1991-06-01,208.0
1991-07-01,246.0
1991-08-01,265.0
1991-09-01,272.0
1991-10-01,252.0
1991-11-01,269.0
1991-12-01,268.0
1992-01-01,302.0
1992-02-01,361.0
1992-03-01,318.0
1992-04-01,254.0
1992-05-01,329.0
1992-06-01,335.0
1992-07-01,332.0
1992-08-01,358.0
1992-09-01,336.0
1992-10-01,338.0
1992-11-01,434.0
1992-12-01,420.0
1993-01-01,267.0
1993-02-01,393.0
1993-03-01,385.0
1993-04-01,429.0
1993-05-01,364.0
1993-06-01,419.0
1993-07-01,411.0
1993-08-01,364.0
1993-09-01,491.0
1993-10-01,488.0
1993-11-01,513.0
1993-12-01,502.0
1994-01-01,507.0
1994-02-01,524.0
1994-03-01,563.0
1994-04-01,538.0
1994-05-01,536.0
1994-06-01,573.0
1994-07-01,447.0
1994-08-01,508.0
1994-09-01,435.0
1994-10-01,1026.0
1994-11-01,413.0
1994-12-01,398.0
1995-01-01,383.0
1995-02-01,361.0
1995-03-01,344.0
1995-04-01,323.0
1995-05-01,395.0
1995-06-01,378.0
1995-07-01,376.0
1995-08-01,471.0
1995-09-01,375.0
1995-10-01,404.0
1995-11-01,424.0
1995-12-01,245.0
1996-01-01,467.0
1996-02-01,442.0
1996-03-01,443.0
1996-04-01,433.0
1996-05-01,445.0
1996-06-01,360.0
1996-07-01,419.0
1996-08-01,411.0
1996-09-01,364.0
1996-10-01,376.0
1996-11-01,393.0
1996-12-01,424.0
1997-01-01,392.0
1997-02-01,396.0
1997-03-01,391.0
1997-04-01,422.0
1997-05-01,371.0
1997-06-01,496.0
1997-07-01,368.0
1997-08-01,357.0
1997-09-01,454.0
1997-10-01,410.0
1997-11-01,465.0
1997-12-01,398.0
1998-01-01,276.0
1998-02-01,460.0
1998-03-01,438.0
1998-04-01,458.0
1998-05-01,410.0
1998-06-01,493.0
1998-07-01,540.0
1998-08-01,488.0
1998-09-01,473.0
1998-10-01,507.0
1998-11-01,462.0
1998-12-01,506.0
1999-01-01,465.0
1999-02-01,452.0
1999-03-01,507.0
1999-04-01,557.0
1999-05-01,586.0
1999-06-01,526.0
1999-07-01,548.0
1999-08-01,372.0
1999-09-01,503.0
1999-10-01,467.0
1999-11-01,392.0
1999-12-01,513.0
2000-01-01,525.0
2000-02-01,530.0
2000-03-01,550.0
2000-04-01,477.0
2000-05-01,474.0
2000-06-01,548.0
2000-07-01,314.0
2000-08-01,493.0
2000-09-01,523.0
2000-10-01,462.0
2000-11-01,451.0
2000-12-01,463.0
2001-01-01,493.0
2001-02-01,486.0
2001-03-01,481.0
2001-04-01,446.0
2001-05-01,444.0
2001-06-01,432.0
2001-07-01,436.0
2001-08-01,436.0
2001-09-01,476.0
2001-10-01,493.0
2001-11-01,420.0
2001-12-01,463.0
2002-01-01,339.0
2002-02-01,495.0
2002-03-01,380.0
2002-04-01,458.0
2002-05-01,486.0
2002-06-01,417.0
2002-07-01,344.0
2002-08-01,480.0
2002-09-01,370.0
2002-10-01,404.0
2002-11-01,436.0
2002-12-01,442.0
2003-01-01,485.0
2003-02-01,459.0
2003-03-01,423.0
2003-04-01,541.0
2003-05-01,342.0
2003-06-01,455.0
2003-07-01,530.0
2003-08-01,585.0
2003-09-01,545.0
2003-10-01,672.0
2003-11-01,675.0
2003-12-01,624.0
2004-01-01,619.0
2004-02-01,666.0
2004-03-01,744.0
2004-04-01,619.0
2004-05-01,643.0
2004-06-01,689.0
2004-07-01,773.0
2004-08-01,718.0
2004-09-01,768.0
2004-10-01,710.0
2004-11-01,918.0
2004-12-01,813.0
2005-01-01,877.0
2005-02-01,887.0
2005-03-01,957.0
2005-04-01,933.0
2005-05-01,883.0
2005-06-01,1015.0
2005-07-01,881.0
2005-08-01,871.0
2005-09-01,964.0
2005-10-01,917.0
2005-11-01,905.0
2005-12-01,1047.0
2006-01-01,917.0
2006-02-01,756.0
2006-03-01,800.0
2006-04-01,676.0
2006-05-01,781.0
2006-06-01,636.0
2006-07-01,571.0
2006-08-01,573.0
2006-09-01,411.0
2006-10-01,545.0
2006-11-01,535.0
2006-12-01,484.0
2007-01-01,431.0
2007-02-01,585.0
2007-03-01,454.0
2007-04-01,497.0
2007-05-01,504.0
2007-06-01,467.0
2007-07-01,445.0
2007-08-01,410.0
2007-09-01,281.0
2007-10-01,357.0
2007-11-01,306.0
2007-12-01,285.0
2008-01-01,250.0
2008-02-01,263.0
2008-03-01,283.0
2008-04-01,302.0
2008-05-01,262.0
2008-06-01,234.0
2008-07-01,240.0
2008-08-01,220.0
2008-09-01,198.0
2008-10-01,163.0
2008-11-01,148.0
2008-12-01,134.0
2009-01-01,131.0
2009-02-01,127.0
2009-03-01,122.0
2009-04-01,148.0
2009-05-01,165.0
2009-06-01,183.0
2009-07-01,192.0
2009-08-01,181.0
2009-09-01,203.0
2009-10-01,200.0
2009-11-01,179.0
2009-12-01,218.0
2010-01-01,228.0
2010-02-01,194.0
2010-03-01,185.0
2010-04-01,208.0
2010-05-01,135.0
2010-06-01,134.0
2010-07-01,135.0
2010-08-01,145.0
2010-09-01,140.0
2010-10-01,121.0
2010-11-01,114.0
2010-12-01,176.0
2011-01-01,129.0
2011-02-01,143.0
2011-03-01,148.0
2011-04-01,109.0
2011-05-01,136.0
2011-06-01,127.0
2011-07-01,124.0
2011-08-01,141.0
2011-09-01,122.0
2011-10-01,133.0
2011-11-01,135.0
2011-12-01,174.0
2012-01-01,140.0
2012-02-01,157.0
2012-03-01,163.0
2012-04-01,144.0
2012-05-01,176.0
2012-06-01,178.0
2012-07-01,171.0
2012-08-01,159.0
2012-09-01,214.0
2012-10-01,245.0
2012-11-01,221.0
2012-12-01,166.0
2013-01-01,233.0
2013-02-01,207.0
2013-03-01,206.0
2013-04-01,229.0
2013-05-01,195.0
2013-06-01,300.0
2013-07-01,225.0
2013-08-01,223.0
2013-09-01,169.0
2013-10-01,209.0
2013-11-01,207.0
2013-12-01,185.0
2014-01-01,258.0
2014-02-01,181.0
2014-03-01,161.0
2014-04-01,203.0
2014-05-01,195.0
2014-06-01,213.0
2014-07-01,215.0
2014-08-01,187.0
2014-09-01,219.0
2014-10-01,215.0
2014-11-01,236.0
2014-12-01,241.0
2015-01-01,206.0
2015-02-01,221.0
2015-03-01,209.0
2015-04-01,199.0
2015-05-01,236.0
2015-06-01,219.0
2015-07-01,238.0
2015-08-01,227.0
2015-09-01,205.0
2015-10-01,216.0
2015-11-01,216.0
2015-12-01,223.0
2016-01-01,206.0
2016-02-01,232.0
2016-03-01,235.0
2016-04-01,217.0
2016-05-01,147.0
2016-06-01,167.0
2016-07-01,141.0
2016-08-01,158.0
