DATE,VALUE
1998-01-01,283503996.0
1998-04-01,287884100.0
1998-07-01,294558660.0
1998-10-01,298196012.0
1999-01-01,304190428.0
1999-04-01,306989772.0
1999-07-01,310385776.0
1999-10-01,320493884.0
2000-01-01,333241288.0
2000-04-01,335832212.0
2000-07-01,342722088.0
2000-10-01,344296112.0
2001-01-01,355933472.0
2001-04-01,352082744.0
2001-07-01,351111236.0
2001-10-01,350361840.0
2002-01-01,349860152.0
2002-04-01,352038948.0
2002-07-01,353079540.0
2002-10-01,352716540.0
2003-01-01,351437552.0
2003-04-01,356095124.0
2003-07-01,360034984.0
2003-10-01,364768980.0
2004-01-01,368710912.0
2004-04-01,374210380.0
2004-07-01,381713152.0
2004-10-01,385150748.0
2005-01-01,394269440.0
2005-04-01,397582676.0
2005-07-01,406186092.0
2005-10-01,416637120.0
2006-01-01,429786536.0
2006-04-01,436707440.0
2006-07-01,443796116.0
2006-10-01,456500456.0
2007-01-01,467504308.0
2007-04-01,477409264.0
2007-07-01,481261732.0
2007-10-01,490334796.0
2008-01-01,498570716.0
2008-04-01,502083708.0
2008-07-01,505162072.0
2008-10-01,508763524.0
2009-01-01,488088964.0
2009-04-01,486943984.0
2009-07-01,486744468.0
2009-10-01,488439064.0
2010-01-01,491577092.0
2010-04-01,498760136.0
2010-07-01,506088744.0
2010-10-01,510888132.0
2011-01-01,526680056.0
2011-04-01,530757384.0
2011-07-01,538810908.0
2011-10-01,536511464.0
2012-01-01,560072036.0
2012-04-01,563508404.0
2012-07-01,567775184.0
2012-10-01,585603560.0
2013-01-01,578536768.0
2013-04-01,590200404.0
2013-07-01,596243064.0
2013-10-01,600192168.0
2014-01-01,618168260.0
2014-04-01,627866936.0
2014-07-01,638916988.0
2014-10-01,648668880.0
2015-01-01,656624024.0
2015-04-01,657252860.0
2015-07-01,663849288.0
2015-10-01,668890944.0
2016-01-01,666154083.0
2016-04-01,672163798.0
