DATE,VALUE
1955-01-01,62.95
1955-04-01,64.2
1955-07-01,65.25
1955-10-01,66.275
1956-01-01,66.65
1956-04-01,67.325
1956-07-01,68.125
1956-10-01,69.475
1957-01-01,70.575
1957-04-01,71.15
1957-07-01,72.3
1957-10-01,72.7
1958-01-01,72.575
1958-04-01,73.3
1958-07-01,74.575
1958-10-01,75.55
1959-01-01,77.475
1959-04-01,78.975
1959-07-01,80.275
1959-10-01,80.8
1960-01-01,81.675
1960-04-01,83.15
1960-07-01,83.125
1960-10-01,83.625
1961-01-01,83.75
1961-04-01,84.975
1961-07-01,85.7
1961-10-01,87.525
1962-01-01,88.85
1962-04-01,90.25
1962-07-01,91.225
1962-10-01,92.775
1963-01-01,93.675
1963-04-01,94.725
1963-07-01,96.45
1963-10-01,97.625
1964-01-01,100.025
1964-04-01,102.025
1964-07-01,104.25
1964-10-01,104.9
1965-01-01,107.575
1965-04-01,109.3
1965-07-01,111.6
1965-10-01,115.1
1966-01-01,117.7
1966-04-01,118.975
1966-07-01,121.25
1966-10-01,122.7
1967-01-01,123.775
1967-04-01,126.05
1967-07-01,127.85
1967-10-01,129.725
1968-01-01,134.225
1968-04-01,137.65
1968-07-01,141.675
1968-10-01,143.9
1969-01-01,146.95
1969-04-01,149.8
1969-07-01,152.375
1969-10-01,155.375
1970-01-01,158.15
1970-04-01,160.625
1970-07-01,163.625
1970-10-01,165.3
1971-01-01,170.05
1971-04-01,173.575
1971-07-01,176.675
1971-10-01,180.725
1972-01-01,185.025
1972-04-01,189.65
1972-07-01,194.275
1972-10-01,200.475
1973-01-01,206.625
1973-04-01,210.5
1973-07-01,215.125
1973-10-01,218.9
1974-01-01,223.45
1974-04-01,230.575
1974-07-01,237.775
1974-10-01,240.225
1975-01-01,246.775
1975-04-01,253.95
1975-07-01,262.4
1975-10-01,269.625
1976-01-01,278.075
1976-04-01,283.0
1976-07-01,290.325
1976-10-01,298.775
1977-01-01,307.65
1977-04-01,314.625
1977-07-01,322.425
1977-10-01,331.975
1978-01-01,339.45
1978-04-01,353.825
1978-07-01,361.55
1978-10-01,371.35
1979-01-01,380.25
1979-04-01,390.375
1979-07-01,404.0
1979-10-01,414.875
1980-01-01,426.625
1980-04-01,427.225
1980-07-01,441.925
1980-10-01,458.85
1981-01-01,472.675
1981-04-01,480.475
1981-07-01,490.3
1981-10-01,494.025
1982-01-01,503.6
1982-04-01,510.275
1982-07-01,522.3
1982-10-01,537.725
1983-01-01,547.65
1983-04-01,563.625
1983-07-01,581.075
1983-10-01,594.175
1984-01-01,605.7
1984-04-01,620.3
1984-07-01,629.925
1984-10-01,642.225
1985-01-01,660.975
1985-04-01,672.8
1985-07-01,691.175
1985-10-01,697.725
1986-01-01,708.675
1986-04-01,715.75
1986-07-01,732.425
1986-10-01,741.525
1987-01-01,749.575
1987-04-01,767.2
1987-07-01,783.375
1987-10-01,791.9
1988-01-01,812.25
1988-04-01,827.25
1988-07-01,844.575
1988-10-01,862.825
1989-01-01,876.525
1989-04-01,892.375
1989-07-01,906.4
1989-10-01,917.525
1990-01-01,938.625
1990-04-01,950.05
1990-07-01,965.85
1990-10-01,971.1
1991-01-01,972.55
1991-04-01,985.925
1991-07-01,997.4
1991-10-01,1004.275
1992-01-01,1029.425
1992-04-01,1043.35
1992-07-01,1061.35
1992-10-01,1081.55
1993-01-01,1092.125
1993-04-01,1109.375
1993-07-01,1126.5
1993-10-01,1143.0
1994-01-01,1160.225
1994-04-01,1175.725
1994-07-01,1193.275
1994-10-01,1211.8
1995-01-01,1220.825
1995-04-01,1238.75
1995-07-01,1255.125
1995-10-01,1269.475
1996-01-01,1288.45
1996-04-01,1311.025
1996-07-01,1324.575
1996-10-01,1344.025
1997-01-01,1364.175
1997-04-01,1373.775
1997-07-01,1400.875
1997-10-01,1421.9
1998-01-01,1436.475
1998-04-01,1464.45
1998-07-01,1488.2
1998-10-01,1513.875
1999-01-01,1532.25
1999-04-01,1563.25
1999-07-01,1589.3
1999-10-01,1622.225
2000-01-01,1660.675
2000-04-01,1684.325
2000-07-01,1711.275
2000-10-01,1736.1
2001-01-01,1755.1
2001-04-01,1768.025
2001-07-01,1775.85
2001-10-01,1804.15
2002-01-01,1812.85
2002-04-01,1836.125
2002-07-01,1858.275
2002-10-01,1876.8
2003-01-01,1898.375
2003-04-01,1921.15
2003-07-01,1961.375
2003-10-01,1984.625
2004-01-01,2019.2
2004-04-01,2046.575
2004-07-01,2078.175
2004-10-01,2116.075
2005-01-01,2143.275
2005-04-01,2180.975
2005-07-01,2222.025
2005-10-01,2247.825
2006-01-01,2283.575
2006-04-01,2313.425
2006-07-01,2343.575
2006-10-01,2363.4
2007-01-01,2397.975
2007-04-01,2425.225
2007-07-01,2449.8
2007-10-01,2477.5
2008-01-01,2493.6
2008-04-01,2523.95
2008-07-01,2531.225
2008-10-01,2464.9
2009-01-01,2442.55
2009-04-01,2442.45
2009-07-01,2472.7
2009-10-01,2489.275
2010-01-01,2511.125
2010-04-01,2534.425
2010-07-01,2558.35
2010-10-01,2598.3
2011-01-01,2630.875
2011-04-01,2662.85
2011-07-01,2688.625
2011-10-01,2706.975
2012-01-01,2739.925
2012-04-01,2757.65
2012-07-01,2779.95
2012-10-01,2805.65
2013-01-01,2837.775
2013-04-01,2853.575
2013-07-01,2879.675
2013-10-01,2913.325
2014-01-01,2932.125
2014-04-01,2967.675
2014-07-01,3000.5
2014-10-01,3030.05
2015-01-01,3029.5
