DATE,VALUE
1970-01-01,7.299
1971-01-01,7.9
1972-01-01,8.7
1973-01-01,11.1
1974-01-01,12.1
1975-01-01,12.5
1976-01-01,12.9
1977-01-01,12.6
1978-01-01,12.8
1979-01-01,12.8
1980-01-01,12.565
1981-01-01,13.014
1982-01-01,13.836
1983-01-01,14.711
1984-01-01,15.157
1985-01-01,15.31
1986-01-01,15.083
1987-01-01,14.187
1988-01-01,13.425
1989-01-01,12.881
1990-01-01,12.608
1991-01-01,12.697
1992-01-01,12.959
1993-01-01,13.169
1994-01-01,13.474
1995-01-01,13.645
1996-01-01,13.801
1997-01-01,14.025
1998-01-01,14.218
1999-01-01,14.395
2000-01-01,14.441
2001-01-01,14.601
2002-01-01,14.871
2003-01-01,14.858
2004-01-01,14.904
2005-01-01,15.221
2006-01-01,15.515
2007-01-01,16.287
2008-01-01,16.987
2009-01-01,18.039
2010-01-01,18.631
2011-01-01,18.746
2012-01-01,19.074
2013-01-01,20.083
2014-01-01,20.319
2015-01-01,20.862
