DATE,VALUE
1990-01-01,152.0
1990-02-01,150.5
1990-03-01,151.4
1990-04-01,150.0
1990-05-01,151.4
1990-06-01,153.9
1990-07-01,153.8
1990-08-01,155.6
1990-09-01,157.2
1990-10-01,157.8
1990-11-01,161.9
1990-12-01,164.1
1991-01-01,156.1
1991-02-01,153.6
1991-03-01,154.3
1991-04-01,154.2
1991-05-01,155.5
1991-06-01,158.1
1991-07-01,157.2
1991-08-01,158.4
1991-09-01,158.9
1991-10-01,159.2
1991-11-01,164.2
1991-12-01,166.7
1992-01-01,158.8
1992-02-01,157.7
1992-03-01,158.6
1992-04-01,159.1
1992-05-01,160.7
1992-06-01,162.6
1992-07-01,162.5
1992-08-01,163.4
1992-09-01,163.8
1992-10-01,164.6
1992-11-01,169.2
1992-12-01,172.5
1993-01-01,163.6
1993-02-01,162.9
1993-03-01,163.8
1993-04-01,165.8
1993-05-01,166.7
1993-06-01,169.4
1993-07-01,170.8
1993-08-01,172.2
1993-09-01,173.0
1993-10-01,174.5
1993-11-01,179.5
1993-12-01,183.3
1994-01-01,174.1
1994-02-01,173.0
1994-03-01,174.0
1994-04-01,174.6
1994-05-01,177.0
1994-06-01,180.7
1994-07-01,181.6
1994-08-01,183.4
1994-09-01,184.2
1994-10-01,184.3
1994-11-01,190.3
1994-12-01,193.6
1995-01-01,184.4
1995-02-01,183.6
1995-03-01,184.8
1995-04-01,185.9
1995-05-01,186.7
1995-06-01,189.0
1995-07-01,189.7
1995-08-01,191.5
1995-09-01,192.9
1995-10-01,192.4
1995-11-01,198.1
1995-12-01,201.5
1996-01-01,192.2
1996-02-01,191.1
1996-03-01,191.6
1996-04-01,191.9
1996-05-01,193.8
1996-06-01,196.3
1996-07-01,197.1
1996-08-01,198.6
1996-09-01,198.0
1996-10-01,199.2
1996-11-01,205.8
1996-12-01,209.7
1997-01-01,199.3
1997-02-01,198.8
1997-03-01,200.1
1997-04-01,200.2
1997-05-01,200.9
1997-06-01,202.7
1997-07-01,204.7
1997-08-01,204.2
1997-09-01,206.4
1997-10-01,207.9
1997-11-01,213.5
1997-12-01,218.4
1998-01-01,207.8
1998-02-01,206.5
1998-03-01,207.3
1998-04-01,206.9
1998-05-01,207.6
1998-06-01,209.5
1998-07-01,210.3
1998-08-01,211.9
1998-09-01,212.2
1998-10-01,213.0
1998-11-01,218.7
1998-12-01,222.3
1999-01-01,212.0
1999-02-01,209.7
1999-03-01,211.0
1999-04-01,212.5
1999-05-01,212.5
1999-06-01,214.1
1999-07-01,214.9
1999-08-01,216.0
1999-09-01,215.7
1999-10-01,216.8
1999-11-01,222.2
1999-12-01,226.9
2000-01-01,216.9
2000-02-01,214.7
2000-03-01,215.7
2000-04-01,216.4
2000-05-01,216.5
2000-06-01,219.1
2000-07-01,219.3
2000-08-01,220.9
2000-09-01,221.6
2000-10-01,223.4
2000-11-01,228.1
2000-12-01,231.4
2001-01-01,219.8
2001-02-01,218.1
2001-03-01,218.6
2001-04-01,219.0
2001-05-01,218.7
2001-06-01,218.9
2001-07-01,218.4
2001-08-01,218.8
2001-09-01,217.6
2001-10-01,217.1
2001-11-01,220.7
2001-12-01,222.4
2002-01-01,214.2
2002-02-01,212.5
2002-03-01,211.7
2002-04-01,213.5
2002-05-01,215.2
2002-06-01,215.5
2002-07-01,215.3
2002-08-01,216.1
2002-09-01,215.1
2002-10-01,216.2
2002-11-01,220.0
2002-12-01,221.8
2003-01-01,211.1
2003-02-01,209.6
2003-03-01,210.0
2003-04-01,210.6
2003-05-01,212.1
2003-06-01,212.8
2003-07-01,212.9
2003-08-01,214.5
2003-09-01,213.9
2003-10-01,215.8
2003-11-01,220.5
2003-12-01,223.4
2004-01-01,214.6
2004-02-01,213.1
2004-03-01,213.6
2004-04-01,215.5
2004-05-01,217.5
2004-06-01,218.5
2004-07-01,218.5
2004-08-01,219.4
2004-09-01,219.3
2004-10-01,221.3
2004-11-01,226.3
2004-12-01,228.7
2005-01-01,219.7
2005-02-01,218.8
2005-03-01,221.2
2005-04-01,221.8
2005-05-01,223.0
2005-06-01,223.8
2005-07-01,225.1
2005-08-01,227.5
2005-09-01,227.6
2005-10-01,229.7
2005-11-01,234.2
2005-12-01,237.3
2006-01-01,228.6
2006-02-01,228.1
2006-03-01,229.6
