DATE,VALUE
1999-01-01,5.1
1999-04-01,7.3
1999-07-01,7.8
1999-10-01,6.2
2000-01-01,9.2
2000-04-01,7.2
2000-07-01,7.8
2000-10-01,10.7
2001-01-01,7.4
2001-04-01,5.6
2001-07-01,5.9
2001-10-01,7.5
2002-01-01,6.8
2002-04-01,4.7
2002-07-01,7.9
2002-10-01,5.4
2003-01-01,6.4
2003-04-01,7.6
2003-07-01,6.7
2003-10-01,6.6
2004-01-01,6.2
2004-04-01,6.3
2004-07-01,7.8
2004-10-01,8.7
2005-01-01,10.0
2005-04-01,8.1
2005-07-01,10.7
2005-10-01,12.3
2006-01-01,9.7
2006-04-01,9.8
2006-07-01,9.7
2006-10-01,8.6
2007-01-01,7.5
2007-04-01,8.0
2007-07-01,7.6
2007-10-01,7.6
2008-01-01,7.9
2008-04-01,8.1
2008-07-01,10.9
2008-10-01,8.5
2009-01-01,9.1
2009-04-01,9.5
2009-07-01,9.7
2009-10-01,9.7
2010-01-01,9.9
2010-04-01,11.2
2010-07-01,11.7
2010-10-01,9.1
2011-01-01,8.0
2011-04-01,9.3
2011-07-01,21.6
2011-10-01,9.7
2012-01-01,8.4
2012-04-01,9.4
2012-07-01,7.7
2012-10-01,7.5
2013-01-01,7.6
2013-04-01,7.5
2013-07-01,7.5
2013-10-01,7.5
2014-01-01,7.7
2014-04-01,9.9
2014-07-01,8.8
2014-10-01,9.4
2015-01-01,8.5
2015-04-01,9.9
2015-07-01,7.7
2015-10-01,7.3
2016-01-01,8.5
2016-04-01,9.1
