DATE,VALUE
1929-01-01,3.811
1930-01-01,3.635
1931-01-01,3.349
1932-01-01,3.042
1933-01-01,2.966
1934-01-01,3.21
1935-01-01,3.39
1936-01-01,3.392
1937-01-01,3.512
1938-01-01,3.377
1939-01-01,3.309
1940-01-01,3.325
1941-01-01,3.564
1942-01-01,3.94
1943-01-01,4.145
1944-01-01,4.245
1945-01-01,4.373
1946-01-01,4.924
1947-01-01,5.259
1948-01-01,5.63
1949-01-01,5.594
1950-01-01,5.765
1951-01-01,6.165
1952-01-01,6.311
1953-01-01,6.429
1954-01-01,6.503
1955-01-01,6.609
1956-01-01,6.806
1957-01-01,7.047
1958-01-01,7.204
1959-01-01,7.357
1960-01-01,7.7
1961-01-01,7.859
1962-01-01,8.013
1963-01-01,8.172
1964-01-01,8.373
1965-01-01,8.61
1966-01-01,8.933
1967-01-01,9.226
1968-01-01,9.703
1969-01-01,10.323
1970-01-01,11.003
1971-01-01,11.517
1972-01-01,12.062
1973-01-01,12.916
1974-01-01,14.21
1975-01-01,15.507
1976-01-01,16.562
1977-01-01,17.722
1978-01-01,19.09
1979-01-01,20.823
1980-01-01,23.059
1981-01-01,25.678
1982-01-01,28.298
1983-01-01,30.553
1984-01-01,32.797
1985-01-01,34.649
1986-01-01,36.54
1987-01-01,38.629
1988-01-01,41.349
1989-01-01,44.713
1990-01-01,48.271
1991-01-01,51.954
1992-01-01,55.452
1993-01-01,58.38
1994-01-01,60.543
1995-01-01,62.837
1996-01-01,64.605
1997-01-01,66.02
1998-01-01,67.158
1999-01-01,68.868
2000-01-01,70.927
2001-01-01,72.903
2002-01-01,75.208
2003-01-01,78.823
2004-01-01,82.613
2005-01-01,85.916
2006-01-01,89.431
2007-01-01,93.173
2008-01-01,97.191
2009-01-01,100.0
2010-01-01,103.021
2011-01-01,105.949
2012-01-01,108.763
2013-01-01,111.604
2014-01-01,113.984
2015-01-01,115.52
