DATE,VALUE
1946-01-01,4.0
1947-01-01,4.1
1948-01-01,4.5
1949-01-01,4.4
1950-01-01,4.8
1951-01-01,5.1
1952-01-01,5.2
1953-01-01,5.3
1954-01-01,5.4
1955-01-01,5.4
1956-01-01,5.5
1957-01-01,5.4
1958-01-01,5.6
1959-01-01,5.5
1960-01-01,5.5
1961-01-01,5.5
1962-01-01,5.6
1963-01-01,5.8
1964-01-01,5.8
1965-01-01,5.9
1966-01-01,6.0
1967-01-01,5.9
1968-01-01,6.0
1969-01-01,6.0
1970-01-01,6.2
1971-01-01,6.3
1972-01-01,7.4
1973-01-01,8.6
1974-01-01,8.4
1975-01-01,8.5
1976-01-01,8.5
1977-01-01,9.0
1978-01-01,9.6
1979-01-01,10.6
1980-01-01,13.8
1981-01-01,19.1
1982-01-01,23.2
1983-01-01,25.3
1984-01-01,28.1
1985-01-01,32.6
1986-01-01,30.2
1987-01-01,28.9
1988-01-01,27.6
1989-01-01,26.6
1990-01-01,30.2
1991-01-01,34.9
1992-01-01,42.9
1993-01-01,49.3
1994-01-01,53.2
1995-01-01,58.0
1996-01-01,61.3
1997-01-01,63.9
1998-01-01,64.9
1999-01-01,64.1
2000-01-01,63.1
2001-01-01,68.5
2002-01-01,66.3
2003-01-01,68.0
2004-01-01,70.4
2005-01-01,75.5
2006-01-01,78.2
2007-01-01,87.4
2008-01-01,108.7
2009-01-01,109.6
2010-01-01,126.7
2011-01-01,149.1
2012-01-01,160.3
2013-01-01,165.1
2014-01-01,173.8
2015-01-01,188.3
