DATE,VALUE
1960-01-01,0.09
1961-01-01,0.05
1962-01-01,0.07
1963-01-01,0.04
1964-01-01,0.08
1965-01-01,-0.1
1966-01-01,0.26
1967-01-01,0.2
1968-01-01,0.23
1969-01-01,0.07
1970-01-01,0.13
1971-01-01,0.04
1972-01-01,0.41
1973-01-01,0.25
1974-01-01,0.09
1975-01-01,0.22
1976-01-01,0.08
1977-01-01,0.01
1978-01-01,0.19
1979-01-01,0.0
1980-01-01,0.22
1981-01-01,-0.01
1982-01-01,-0.07
1983-01-01,0.3
1984-01-01,0.18
1985-01-01,0.09
1986-01-01,0.1
1987-01-01,0.15
1988-01-01,0.11
1989-01-01,0.11
1990-01-01,0.13
1991-01-01,0.13
1992-01-01,0.12
1993-01-01,0.11
1994-01-01,0.11
1995-01-01,0.03
1996-01-01,0.06
1997-01-01,0.16
1998-01-01,0.15
1999-01-01,0.05
2000-01-01,0.27
2001-01-01,0.28
2002-01-01,0.15
2003-01-01,0.35
2004-01-01,-0.03
2005-01-01,0.04
2006-01-01,0.04
2007-01-01,0.11
2008-01-01,0.26
2009-01-01,0.3
2010-01-01,0.22
2011-01-01,0.13
2012-01-01,0.14
2013-01-01,-0.04
2014-01-01,0.1
