DATE,VALUE
1970-01-01,3.298
1971-01-01,3.3
1972-01-01,3.4
1973-01-01,3.5
1974-01-01,3.5
1975-01-01,3.5
1976-01-01,3.6
1977-01-01,4.0
1978-01-01,3.9
1979-01-01,3.9
1980-01-01,4.172
1981-01-01,4.24
1982-01-01,4.211
1983-01-01,4.231
1984-01-01,4.181
1985-01-01,4.242
1986-01-01,4.335
1987-01-01,4.407
1988-01-01,4.464
1989-01-01,4.484
1990-01-01,4.627
1991-01-01,4.795
1992-01-01,4.941
1993-01-01,5.048
1994-01-01,5.135
1995-01-01,5.197
1996-01-01,5.152
1997-01-01,5.14
1998-01-01,5.086
1999-01-01,5.039
2000-01-01,5.075
2001-01-01,5.041
2002-01-01,5.078
2003-01-01,4.975
2004-01-01,4.912
2005-01-01,4.85
2006-01-01,4.825
2007-01-01,4.722
2008-01-01,4.61
2009-01-01,4.547
2010-01-01,4.398
2011-01-01,4.493
2012-01-01,4.466
2013-01-01,4.501
2014-01-01,4.461
2015-01-01,4.464
