DATE,VALUE
2003-09-12,0.954
2003-09-19,0.886
2003-09-26,0.867
2003-10-03,0.967
2003-10-10,0.992
2003-10-17,0.969
2003-10-24,1.012
2003-10-31,1.016
2003-11-07,0.986
2003-11-14,1.074
2003-11-21,1.036
2003-11-28,0.96
2003-12-05,0.948
2003-12-12,0.935
2003-12-19,0.976
2003-12-26,0.969
2004-01-02,0.982
2004-01-09,1.026
2004-01-16,1.041
2004-01-23,1.129
2004-01-30,1.132
2004-02-06,1.212
2004-02-13,1.246
2004-02-20,1.488
2004-02-27,1.459
2004-03-05,1.353
2004-03-12,1.263
2004-03-19,1.276
2004-03-26,1.333
2004-04-02,1.474
2004-04-09,1.406
2004-04-16,1.402
2004-04-23,1.375
2004-04-30,1.475
2004-05-07,1.68
2004-05-14,1.648
2004-05-21,1.704
2004-05-28,1.564
2004-06-04,1.559
2004-06-11,1.408
2004-06-18,1.35
2004-06-25,1.53
2004-07-02,1.464
2004-07-09,1.541
2004-07-16,1.523
2004-07-23,1.423
2004-07-30,1.385
2004-08-06,1.377
2004-08-13,1.368
2004-08-20,1.432
2004-08-27,1.402
2004-09-03,1.337
2004-09-10,1.363
2004-09-17,1.463
2004-09-24,1.543
2004-10-01,1.639
2004-10-08,1.761
2004-10-15,1.731
2004-10-22,1.556
2004-10-29,1.523
2004-11-05,1.472
2004-11-12,1.44
2004-11-19,1.35
2004-11-26,1.363
2004-12-03,1.246
2004-12-10,1.126
2004-12-17,1.197
2004-12-24,1.236
2004-12-31,1.191
2005-01-07,1.267
2005-01-14,1.316
2005-01-21,1.424
2005-01-28,1.494
2005-02-04,1.482
2005-02-11,1.544
2005-02-18,1.543
2005-02-25,1.61
2005-03-04,1.624
2005-03-11,1.671
2005-03-18,1.687
2005-03-25,1.783
2005-04-01,1.864
2005-04-08,1.924
2005-04-15,1.819
2005-04-22,1.788
2005-04-29,1.751
2005-05-06,1.681
2005-05-13,1.591
2005-05-20,1.571
2005-05-27,1.562
2005-06-03,1.639
2005-06-10,1.664
2005-06-17,1.725
2005-06-24,1.836
2005-07-01,1.831
2005-07-08,1.938
2005-07-15,1.863
2005-07-22,1.835
2005-07-29,1.907
2005-08-05,2.002
2005-08-12,2.075
2005-08-19,2.043
2005-08-26,2.081
2005-09-02,2.681
2005-09-09,2.2
2005-09-16,2.171
2005-09-23,2.271
2005-09-30,2.338
2005-10-07,2.101
2005-10-14,1.946
2005-10-21,1.847
2005-10-28,1.755
2005-11-04,1.697
2005-11-11,1.58
2005-11-18,1.539
2005-11-25,1.535
2005-12-02,1.535
2005-12-09,1.544
2005-12-16,1.639
2005-12-23,1.56
2005-12-30,1.72
2006-01-06,1.874
2006-01-13,1.798
2006-01-20,1.882
2006-01-27,1.899
2006-02-03,1.912
2006-02-10,1.697
2006-02-17,1.64
2006-02-24,1.778
2006-03-03,1.821
2006-03-10,1.878
2006-03-17,2.026
2006-03-24,1.989
2006-03-31,2.182
2006-04-07,2.214
2006-04-14,2.368
2006-04-21,2.605
2006-04-28,2.589
2006-05-05,2.796
2006-05-12,2.64
2006-05-19,2.416
2006-05-26,2.394
2006-06-02,2.463
2006-06-09,2.376
2006-06-16,2.316
2006-06-23,2.359
2006-06-30,2.518
2006-07-07,2.577
2006-07-14,2.505
2006-07-21,2.478
2006-07-28,2.431
2006-08-04,2.377
2006-08-11,2.276
2006-08-18,2.156
2006-08-25,2.134
2006-09-01,2.025
2006-09-08,1.874
2006-09-15,1.772
2006-09-22,1.744
2006-09-29,1.713
2006-10-06,1.732
2006-10-13,1.715
2006-10-20,1.684
2006-10-27,1.644
2006-11-03,1.675
2006-11-10,1.866
2006-11-17,1.77
2006-11-24,1.813
2006-12-01,1.802
2006-12-08,1.774
2006-12-15,1.808
2006-12-22,1.82
2006-12-29,1.814
2007-01-05,1.785
2007-01-12,1.678
2007-01-19,1.558
2007-01-26,1.631
2007-02-02,1.817
2007-02-09,1.909
2007-02-16,2.01
2007-02-23,2.131
2007-03-02,2.2
2007-03-09,2.33
2007-03-16,2.353
2007-03-23,2.336
2007-03-30,2.532
2007-04-06,2.484
2007-04-13,2.515
2007-04-20,2.477
2007-04-27,2.609
2007-05-04,2.721
2007-05-11,2.625
2007-05-18,2.55
2007-05-25,2.519
2007-06-01,2.393
2007-06-08,2.327
2007-06-15,2.294
2007-06-22,2.4
2007-06-29,2.386
2007-07-06,2.381
2007-07-13,2.422
2007-07-20,2.286
2007-07-27,2.206
2007-08-03,2.171
2007-08-10,2.027
2007-08-17,2.054
2007-08-24,1.982
2007-08-31,2.078
2007-09-07,2.147
2007-09-14,2.167
2007-09-21,2.251
2007-09-28,2.254
2007-10-05,2.248
2007-10-12,2.378
2007-10-19,2.454
2007-10-26,2.42
2007-11-02,2.552
2007-11-09,2.658
2007-11-16,2.573
2007-11-23,2.561
2007-11-30,2.428
2007-12-07,2.352
2007-12-14,2.411
2007-12-21,2.454
2007-12-28,2.576
2008-01-04,2.615
2008-01-11,2.375
2008-01-18,2.137
2008-01-25,2.212
2008-02-01,2.386
2008-02-08,2.457
2008-02-15,2.524
2008-02-22,2.732
2008-02-29,2.785
2008-03-07,2.749
2008-03-14,2.806
2008-03-21,2.648
2008-03-28,2.88
2008-04-04,2.942
2008-04-11,3.043
2008-04-18,3.106
2008-04-25,3.15
2008-05-02,3.044
2008-05-09,3.193
2008-05-16,3.194
2008-05-23,3.435
2008-05-30,3.601
2008-06-06,3.761
2008-06-13,3.754
2008-06-20,3.663
2008-06-27,3.621
2008-07-04,3.58
2008-07-11,3.463
2008-07-18,3.286
2008-07-25,3.078
2008-08-01,3.108
2008-08-08,3.085
2008-08-15,3.134
2008-08-22,2.974
2008-08-29,3.086
2008-09-05,2.975
2008-09-12,2.971
2008-09-19,2.726
2008-09-26,2.88
2008-10-03,2.688
2008-10-10,2.472
2008-10-17,2.249
2008-10-24,1.906
2008-10-31,1.556
2008-11-07,1.468
2008-11-14,1.371
2008-11-21,1.08
2008-11-28,1.124
2008-12-05,0.923
2008-12-12,1.005
2008-12-19,1.189
2008-12-26,1.258
2009-01-02,1.337
2009-01-09,1.49
2009-01-16,1.394
2009-01-23,1.417
2009-01-30,1.503
2009-02-06,1.634
2009-02-13,1.742
2009-02-20,1.373
2009-02-27,1.402
2009-03-06,1.428
2009-03-13,1.365
2009-03-20,1.472
2009-03-27,1.616
2009-04-03,1.542
2009-04-10,1.596
2009-04-17,1.588
2009-04-24,1.537
2009-05-01,1.601
2009-05-08,1.737
2009-05-15,1.786
2009-05-22,1.933
2009-05-29,2.001
2009-06-05,2.109
2009-06-12,2.184
2009-06-19,2.124
2009-06-26,1.953
2009-07-03,1.956
2009-07-10,1.768
2009-07-17,1.819
2009-07-24,1.99
2009-07-31,2.076
2009-08-07,2.209
2009-08-14,2.127
2009-08-21,2.052
2009-08-28,2.078
2009-09-04,2.111
2009-09-11,2.221
2009-09-18,2.08
2009-09-25,1.894
2009-10-02,1.966
2009-10-09,1.937
2009-10-16,2.022
2009-10-23,2.116
2009-10-30,2.081
2009-11-06,1.999
2009-11-13,1.942
2009-11-20,2.005
2009-11-27,1.965
2009-12-04,1.998
2009-12-11,1.895
2009-12-18,1.999
2009-12-25,2.043
2010-01-01,2.169
2010-01-08,2.189
2010-01-15,2.022
2010-01-22,1.958
2010-01-29,2.04
2010-02-05,2.048
2010-02-12,1.987
2010-02-19,2.055
2010-02-26,2.198
2010-03-05,2.265
2010-03-12,2.246
2010-03-19,2.272
2010-03-26,2.242
2010-04-02,2.278
2010-04-09,2.313
2010-04-16,2.26
2010-04-23,2.278
2010-04-30,2.371
2010-05-07,2.261
2010-05-14,2.177
2010-05-21,1.992
2010-05-28,2.029
2010-06-04,2.196
2010-06-11,2.198
2010-06-18,2.277
2010-06-25,2.315
2010-07-02,2.245
2010-07-09,2.227
2010-07-16,2.304
2010-07-23,2.324
2010-07-30,2.298
2010-08-06,2.353
2010-08-13,2.257
2010-08-20,2.095
2010-08-27,2.057
2010-09-03,2.038
2010-09-10,2.068
2010-09-17,2.07
2010-09-24,2.059
2010-10-01,2.142
2010-10-08,2.308
2010-10-15,2.329
2010-10-22,2.208
2010-10-29,2.188
2010-11-05,2.231
2010-11-12,2.288
2010-11-19,2.212
2010-11-26,2.198
2010-12-03,2.373
2010-12-10,2.429
2010-12-17,2.325
2010-12-24,2.454
2010-12-31,2.465
2011-01-07,2.431
2011-01-14,2.447
2011-01-21,2.412
2011-01-28,2.473
2011-02-04,2.617
2011-02-11,2.636
2011-02-18,2.74
2011-02-25,2.986
2011-03-04,3.127
2011-03-11,3.122
2011-03-18,3.073
2011-03-25,3.2
2011-04-01,3.256
2011-04-08,3.349
2011-04-15,3.364
2011-04-22,3.353
2011-04-29,3.435
2011-05-06,3.315
2011-05-13,3.115
2011-05-20,2.861
2011-05-27,2.944
2011-06-03,2.917
2011-06-10,2.893
2011-06-17,2.901
2011-06-24,2.786
2011-07-01,2.852
2011-07-08,2.958
2011-07-15,3.007
2011-07-22,2.936
2011-07-29,2.9
2011-08-05,2.748
2011-08-12,2.643
2011-08-19,2.812
2011-08-26,2.95
2011-09-02,3.2
2011-09-09,3.089
2011-09-16,2.929
2011-09-23,2.777
2011-09-30,2.782
2011-10-07,2.85
2011-10-14,3.13
2011-10-21,2.968
2011-10-28,2.854
2011-11-04,2.954
2011-11-11,2.892
2011-11-18,2.616
2011-11-25,2.588
2011-12-02,2.587
2011-12-09,2.625
2011-12-16,2.604
2011-12-23,2.751
2011-12-30,2.913
2012-01-06,2.941
2012-01-13,2.856
2012-01-20,2.917
2012-01-27,2.95
2012-02-03,2.976
2012-02-10,3.104
2012-02-17,3.286
2012-02-24,3.571
2012-03-02,3.565
2012-03-09,3.483
2012-03-16,3.368
2012-03-23,3.312
2012-03-30,3.33
2012-04-06,3.264
2012-04-13,3.258
2012-04-20,3.21
2012-04-27,3.262
2012-05-04,3.318
2012-05-11,3.339
2012-05-18,3.274
2012-05-25,3.113
2012-06-01,3.007
2012-06-08,2.72
2012-06-15,2.612
2012-06-22,2.446
2012-06-29,2.69
2012-07-06,2.734
2012-07-13,2.711
2012-07-20,2.887
2012-07-27,2.886
2012-08-03,2.96
2012-08-10,3.182
2012-08-17,3.165
2012-08-24,3.091
2012-08-31,3.167
2012-09-07,3.238
2012-09-14,3.088
2012-09-21,3.171
2012-09-28,3.168
2012-10-05,3.661
2012-10-12,3.441
2012-10-19,2.979
2012-10-26,2.714
2012-11-02,2.691
2012-11-09,2.784
2012-11-16,2.805
2012-11-23,2.829
2012-11-30,2.81
2012-12-07,2.593
2012-12-14,2.515
2012-12-21,2.553
2012-12-28,2.798
2013-01-04,2.808
2013-01-11,2.769
2013-01-18,2.765
2013-01-25,2.948
2013-02-01,3.279
2013-02-08,3.352
2013-02-15,3.368
2013-02-22,3.371
2013-03-01,3.186
2013-03-08,3.052
2013-03-15,3.012
2013-03-22,2.969
2013-03-29,3.086
2013-04-05,2.979
2013-04-12,2.928
2013-04-19,2.852
2013-04-26,2.867
2013-05-03,2.908
2013-05-10,3.21
2013-05-17,3.054
2013-05-24,2.913
2013-05-31,2.843
2013-06-07,2.917
2013-06-14,3.091
2013-06-21,3.183
2013-06-28,2.891
2013-07-05,2.932
2013-07-12,3.138
2013-07-19,3.172
2013-07-26,2.979
2013-08-02,2.946
2013-08-09,2.803
