DATE,VALUE
2008-09-24,117.046
2008-10-01,266.081
2008-10-08,405.771
2008-10-15,494.853
2008-10-22,524.771
2008-10-29,558.864
2008-11-05,558.851
2008-11-12,558.892
2008-11-19,508.956
2008-11-26,479.054
2008-12-03,440.528
2008-12-10,404.123
2008-12-17,364.177
2008-12-24,289.247
2008-12-31,263.6
2009-01-07,229.403
2009-01-14,199.686
2009-01-21,199.747
2009-01-28,174.84
2009-02-04,169.962
2009-02-11,199.95
2009-02-18,199.95
2009-02-25,199.95
2009-03-04,199.95
2009-03-11,199.945
2009-03-18,199.937
2009-03-25,199.935
2009-04-01,199.934
2009-04-08,199.928
2009-04-15,199.929
2009-04-22,199.929
2009-04-29,199.929
2009-05-06,199.929
2009-05-13,199.933
2009-05-20,199.93
2009-05-27,199.932
2009-06-03,199.933
2009-06-10,199.936
2009-06-17,199.939
2009-06-24,199.939
2009-07-01,199.939
2009-07-08,199.939
2009-07-15,199.939
2009-07-22,199.936
2009-07-29,199.936
2009-08-05,199.935
2009-08-12,199.933
2009-08-19,199.93
2009-08-26,199.932
2009-09-02,199.932
2009-09-09,199.932
2009-09-16,199.932
2009-09-23,199.932
2009-09-30,164.945
2009-10-07,129.956
2009-10-14,99.967
2009-10-21,64.98
2009-10-28,29.992
2009-11-04,14.999
2009-11-11,14.999
2009-11-18,14.999
2009-11-25,14.999
2009-12-02,14.999
2009-12-09,14.999
2009-12-16,15.0
2009-12-23,15.0
2009-12-30,11.428
2010-01-06,5.001
2010-01-13,5.001
2010-01-20,5.001
2010-01-27,5.001
2010-02-03,5.001
2010-02-10,5.0
2010-02-17,5.0
2010-02-24,5.0
2010-03-03,24.997
2010-03-10,49.993
2010-03-17,74.988
2010-03-24,99.983
2010-03-31,124.979
2010-04-07,149.973
2010-04-14,174.967
2010-04-21,199.961
2010-04-28,199.959
2010-05-05,199.958
2010-05-12,199.958
2010-05-19,199.959
2010-05-26,199.957
2010-06-02,199.958
2010-06-09,199.96
2010-06-16,199.962
2010-06-23,199.963
2010-06-30,199.965
2010-07-07,199.963
2010-07-14,199.962
2010-07-21,199.962
2010-07-28,199.961
2010-08-04,199.96
2010-08-11,199.957
2010-08-18,199.955
2010-08-25,199.954
2010-09-01,199.956
2010-09-08,199.957
2010-09-15,199.96
2010-09-22,199.96
2010-09-29,199.961
2010-10-06,199.962
2010-10-13,199.962
2010-10-20,199.962
2010-10-27,199.961
2010-11-03,199.96
2010-11-10,199.958
2010-11-17,199.959
2010-11-24,199.96
2010-12-01,199.959
2010-12-08,199.959
2010-12-15,199.961
2010-12-22,199.961
2010-12-29,199.963
2011-01-05,199.964
2011-01-12,199.963
2011-01-19,199.961
2011-01-26,199.962
2011-02-02,199.963
2011-02-09,174.967
2011-02-16,149.972
2011-02-23,124.976
2011-03-02,99.98
2011-03-09,74.985
2011-03-16,49.991
2011-03-23,24.996
2011-03-30,5.0
2011-04-06,5.0
2011-04-13,5.0
2011-04-20,5.0
2011-04-27,5.0
2011-05-04,5.0
2011-05-11,5.0
2011-05-18,5.0
2011-05-25,5.0
2011-06-01,5.0
2011-06-08,5.0
2011-06-15,5.0
2011-06-22,5.0
2011-06-29,5.0
2011-07-06,5.0
2011-07-13,5.0
2011-07-20,5.0
2011-07-27,5.0
2011-08-03,0.0
2011-08-10,0.0
2011-08-17,0.0
2011-08-24,0.0
2011-08-31,0.0
2011-09-07,0.0
2011-09-14,0.0
2011-09-21,0.0
2011-09-28,0.0
2011-10-05,0.0
2011-10-12,0.0
2011-10-19,0.0
2011-10-26,0.0
2011-11-02,0.0
2011-11-09,0.0
2011-11-16,0.0
2011-11-23,0.0
2011-11-30,0.0
2011-12-07,0.0
2011-12-14,0.0
2011-12-21,0.0
2011-12-28,0.0
2012-01-04,0.0
2012-01-11,0.0
2012-01-18,0.0
2012-01-25,0.0
2012-02-01,0.0
2012-02-08,0.0
2012-02-15,0.0
2012-02-22,0.0
2012-02-29,0.0
2012-03-07,0.0
2012-03-14,0.0
2012-03-21,0.0
2012-03-28,0.0
2012-04-04,0.0
2012-04-11,0.0
2012-04-18,0.0
2012-04-25,0.0
2012-05-02,0.0
2012-05-09,0.0
2012-05-16,0.0
2012-05-23,0.0
2012-05-30,0.0
2012-06-06,0.0
2012-06-13,0.0
2012-06-20,0.0
2012-06-27,0.0
2012-07-04,0.0
2012-07-11,0.0
2012-07-18,0.0
2012-07-25,0.0
2012-08-01,0.0
2012-08-08,0.0
2012-08-15,0.0
2012-08-22,0.0
2012-08-29,0.0
2012-09-05,0.0
2012-09-12,0.0
2012-09-19,0.0
2012-09-26,0.0
2012-10-03,0.0
2012-10-10,0.0
2012-10-17,0.0
2012-10-24,0.0
2012-10-31,0.0
2012-11-07,0.0
2012-11-14,0.0
2012-11-21,0.0
2012-11-28,0.0
2012-12-05,0.0
2012-12-12,0.0
2012-12-19,0.0
2012-12-26,0.0
2013-01-02,0.0
2013-01-09,0.0
2013-01-16,0.0
2013-01-23,0.0
2013-01-30,0.0
2013-02-06,0.0
2013-02-13,0.0
2013-02-20,0.0
2013-02-27,0.0
2013-03-06,0.0
2013-03-13,0.0
2013-03-20,0.0
2013-03-27,0.0
2013-04-03,0.0
2013-04-10,0.0
2013-04-17,0.0
2013-04-24,0.0
2013-05-01,0.0
2013-05-08,0.0
2013-05-15,0.0
2013-05-22,0.0
2013-05-29,0.0
2013-06-05,0.0
2013-06-12,0.0
2013-06-19,0.0
2013-06-26,0.0
2013-07-03,0.0
2013-07-10,0.0
2013-07-17,0.0
2013-07-24,0.0
2013-07-31,0.0
2013-08-07,0.0
2013-08-14,0.0
2013-08-21,0.0
2013-08-28,0.0
2013-09-04,0.0
2013-09-11,0.0
2013-09-18,0.0
2013-09-25,0.0
2013-10-02,0.0
2013-10-09,0.0
2013-10-16,0.0
2013-10-23,0.0
2013-10-30,0.0
2013-11-06,0.0
2013-11-13,0.0
