DATE,VALUE
1990-01-01,2382.0
1990-02-01,2421.0
1990-03-01,2434.0
1990-04-01,2480.0
1990-05-01,2435.0
1990-06-01,2474.0
1990-07-01,2422.0
1990-08-01,2342.0
1990-09-01,2358.0
1990-10-01,2402.0
1990-11-01,2379.0
1990-12-01,2378.0
1991-01-01,2392.0
1991-02-01,2464.0
1991-03-01,2482.0
1991-04-01,2499.0
1991-05-01,2448.0
1991-06-01,2482.0
1991-07-01,2396.0
1991-08-01,2406.0
1991-09-01,2393.0
1991-10-01,2383.0
1991-11-01,2403.0
1991-12-01,2428.0
1992-01-01,2376.0
1992-02-01,2370.0
1992-03-01,2448.0
1992-04-01,2464.0
1992-05-01,2474.0
1992-06-01,2535.0
1992-07-01,2439.0
1992-08-01,2413.0
1992-09-01,2473.0
1992-10-01,2463.0
1992-11-01,2449.0
1992-12-01,2420.0
1993-01-01,2445.0
1993-02-01,2454.0
1993-03-01,2515.0
1993-04-01,2496.0
1993-05-01,2552.0
1993-06-01,2572.0
1993-07-01,2440.0
1993-08-01,2442.0
1993-09-01,2499.0
1993-10-01,2538.0
1993-11-01,2585.0
1993-12-01,2574.0
1994-01-01,2482.0
1994-02-01,2489.0
1994-03-01,2519.0
1994-04-01,2578.0
1994-05-01,2634.0
1994-06-01,2768.0
1994-07-01,2578.0
1994-08-01,2500.0
1994-09-01,2522.0
1994-10-01,2569.0
1994-11-01,2544.0
1994-12-01,2540.0
1995-01-01,2435.0
1995-02-01,2405.0
1995-03-01,2456.0
1995-04-01,2466.0
1995-05-01,2471.0
1995-06-01,2505.0
1995-07-01,2390.0
1995-08-01,2384.0
1995-09-01,2376.0
1995-10-01,2369.0
1995-11-01,2446.0
1995-12-01,2401.0
1996-01-01,2348.0
1996-02-01,2353.0
1996-03-01,2415.0
1996-04-01,2460.0
1996-05-01,2528.0
1996-06-01,2619.0
1996-07-01,2470.0
1996-08-01,2460.0
1996-09-01,2600.0
1996-10-01,2799.0
1996-11-01,2770.0
1996-12-01,2497.0
1997-01-01,2353.0
1997-02-01,2418.0
1997-03-01,2399.0
1997-04-01,2400.0
1997-05-01,2415.0
1997-06-01,2509.0
1997-07-01,2496.0
1997-08-01,2445.0
1997-09-01,2368.0
1997-10-01,2390.0
1997-11-01,2336.0
1997-12-01,2374.0
1998-01-01,2322.0
1998-02-01,2287.0
1998-03-01,2382.0
1998-04-01,2423.0
1998-05-01,2429.0
1998-06-01,2543.0
1998-07-01,2485.0
1998-08-01,2461.0
1998-09-01,2392.0
1998-10-01,2344.0
1998-11-01,2366.0
1998-12-01,2357.0
1999-01-01,2355.0
1999-02-01,2374.0
1999-03-01,2365.0
1999-04-01,2437.0
1999-05-01,2438.0
1999-06-01,2558.0
1999-07-01,2551.0
1999-08-01,2484.0
1999-09-01,2441.0
1999-10-01,2424.0
1999-11-01,2420.0
1999-12-01,2407.0
2000-01-01,2594.0
2000-02-01,2590.0
2000-03-01,2653.0
2000-04-01,2646.0
2000-05-01,2666.0
2000-06-01,2732.0
2000-07-01,2730.0
2000-08-01,2668.0
2000-09-01,2602.0
2000-10-01,2606.0
2000-11-01,2617.0
2000-12-01,2607.0
2001-01-01,2536.0
2001-02-01,2541.0
2001-03-01,2581.0
2001-04-01,2639.0
2001-05-01,2614.0
