DATE,VALUE
1950-01-01,2.4944880024
1951-01-01,2.4844698921
1952-01-01,2.4944880024
1953-01-01,2.4944880024
1954-01-01,2.4844698921
1955-01-01,2.4844698921
1956-01-01,2.4844698921
1957-01-01,2.4844698921
1958-01-01,2.4844698921
1959-01-01,2.4944880024
1960-01-01,2.4844698921
1961-01-01,2.4844698921
1962-01-01,2.4844698921
1963-01-01,2.4844698921
1964-01-01,2.5000000015
1965-01-01,2.5000000015
1966-01-01,2.5000000015
1967-01-01,2.5000000015
1968-01-01,2.5000000015
1969-01-01,2.5000000015
1970-01-01,2.5000000015
1971-01-01,2.4934750013
1972-01-01,2.299999999
1973-01-01,2.098749999
1974-01-01,2.069999999
1975-01-01,2.069999999
1976-01-01,2.069999999
1977-01-01,2.069999999
1978-01-01,2.069999999
1979-01-01,2.069999999
1980-01-01,2.069999999
1981-01-01,2.069999999
1982-01-01,2.069999999
1983-01-01,2.069999999
1984-01-01,2.0699999996
1985-01-01,2.07
1986-01-01,2.07
1987-01-01,2.07
1988-01-01,2.07
1989-01-01,2.07
1990-01-01,2.07
1991-01-01,2.07
1992-01-01,2.8025
1993-01-01,5.0
1994-01-01,5.465
1995-01-01,6.1583333333
1996-01-01,6.351675
1997-01-01,6.7093416667
1998-01-01,7.1159083333
1999-01-01,7.94225
2000-01-01,8.2172583333
2001-01-01,8.4574916667
2002-01-01,8.56775
2003-01-01,8.5996833333
2004-01-01,8.6355833333
2005-01-01,8.6664416667
2006-01-01,8.6986158333
2007-01-01,8.96595
2008-01-01,9.5997416667
2009-01-01,11.777599672
2010-01-01,14.409589808
2011-01-01,16.89922576
2012-01-01,17.704761378
2013-01-01,18.544166667
2014-01-01,19.5269
