DATE,VALUE
1929-01-01,0.1
1930-01-01,0.1
1931-01-01,0.1
1932-01-01,0.1
1933-01-01,0.1
1934-01-01,0.1
1935-01-01,0.1
1936-01-01,0.1
1937-01-01,0.1
1938-01-01,0.1
1939-01-01,0.1
1940-01-01,0.1
1941-01-01,0.3
1942-01-01,0.5
1943-01-01,0.9
1944-01-01,1.6
1945-01-01,1.5
1946-01-01,1.4
1947-01-01,1.4
1948-01-01,1.6
1949-01-01,1.7
1950-01-01,1.9
1951-01-01,2.1
1952-01-01,2.4
1953-01-01,2.7
1954-01-01,3.0
1955-01-01,3.6
1956-01-01,4.8
1957-01-01,5.9
1958-01-01,6.4
1959-01-01,7.0
1960-01-01,7.8
1961-01-01,8.8
1962-01-01,9.9
1963-01-01,11.7
1964-01-01,12.9
1965-01-01,13.8
1966-01-01,15.4
1967-01-01,16.2
1968-01-01,17.0
1969-01-01,17.7
1970-01-01,17.6
1971-01-01,18.1
1972-01-01,19.3
1973-01-01,20.3
1974-01-01,21.5
1975-01-01,23.3
1976-01-01,25.5
1977-01-01,27.9
1978-01-01,31.0
1979-01-01,35.0
1980-01-01,39.6
1981-01-01,45.0
1982-01-01,49.7
1983-01-01,55.2
1984-01-01,62.2
1985-01-01,71.0
1986-01-01,75.2
1987-01-01,81.7
1988-01-01,85.1
1989-01-01,87.8
1990-01-01,91.1
1991-01-01,91.4
1992-01-01,91.6
1993-01-01,91.4
1994-01-01,92.0
1995-01-01,94.0
1996-01-01,95.5
1997-01-01,98.3
1998-01-01,102.3
1999-01-01,106.5
2000-01-01,113.2
2001-01-01,119.7
2002-01-01,126.0
2003-01-01,136.5
2004-01-01,145.5
2005-01-01,153.9
2006-01-01,160.6
2007-01-01,169.0
2008-01-01,177.2
2009-01-01,179.8
2010-01-01,187.4
2011-01-01,191.6
2012-01-01,189.2
2013-01-01,188.6
2014-01-01,186.9
2015-01-01,188.1
