DATE,VALUE
1967-01-01,0.7
1967-04-01,0.7
1967-07-01,0.8
1967-10-01,0.8
1968-01-01,0.8
1968-04-01,0.8
1968-07-01,0.8
1968-10-01,0.8
1969-01-01,0.8
1969-04-01,0.9
1969-07-01,1.0
1969-10-01,1.0
1970-01-01,1.0
1970-04-01,1.0
1970-07-01,1.1
1970-10-01,1.1
1971-01-01,1.2
1971-04-01,1.2
1971-07-01,1.3
1971-10-01,1.4
1972-01-01,1.4
1972-04-01,1.5
1972-07-01,1.5
1972-10-01,1.5
1973-01-01,1.6
1973-04-01,1.6
1973-07-01,1.7
1973-10-01,1.8
1974-01-01,2.8
1974-04-01,2.9
1974-07-01,3.0
1974-10-01,3.1
1975-01-01,3.4
1975-04-01,3.6
1975-07-01,3.8
1975-10-01,4.0
1976-01-01,4.2
1976-04-01,4.4
1976-07-01,4.7
1976-10-01,4.8
1977-01-01,4.8
1977-04-01,4.9
1977-07-01,4.9
1977-10-01,5.1
1978-01-01,5.6
1978-04-01,5.8
1978-07-01,6.6
1978-10-01,6.8
1979-01-01,6.9
1979-04-01,7.2
1979-07-01,7.2
1979-10-01,7.7
1980-01-01,7.7
1980-04-01,8.4
1980-07-01,8.9
1980-10-01,9.4
1981-01-01,10.1
1981-04-01,10.6
1981-07-01,10.5
1981-10-01,10.9
1982-01-01,13.2
1982-04-01,13.5
1982-07-01,13.9
1982-10-01,14.5
1983-01-01,13.6
1983-04-01,14.1
1983-07-01,14.1
1983-10-01,14.5
1984-01-01,14.8
1984-04-01,14.4
1984-07-01,14.6
1984-10-01,14.2
1985-01-01,14.5
1985-04-01,14.4
1985-07-01,14.8
1985-10-01,15.6
1986-01-01,23.0
1986-04-01,23.2
1986-07-01,23.2
1986-10-01,23.7
1987-01-01,23.6
1987-04-01,24.0
1987-07-01,24.2
1987-10-01,24.9
1988-01-01,25.2
1988-04-01,25.6
1988-07-01,25.6
1988-10-01,26.4
1989-01-01,28.7
1989-04-01,29.9
1989-07-01,30.9
1989-10-01,31.7
1990-01-01,31.0
1990-04-01,31.7
1990-07-01,32.8
1990-10-01,35.3
1991-01-01,37.6
1991-04-01,39.8
1991-07-01,40.6
1991-10-01,41.4
1992-01-01,40.4
1992-04-01,40.6
1992-07-01,41.9
1992-10-01,41.5
1993-01-01,42.5
1993-04-01,42.7
1993-07-01,43.5
1993-10-01,45.4
1994-01-01,47.9
1994-04-01,49.4
1994-07-01,49.8
1994-10-01,52.6
1995-01-01,51.4
1995-04-01,52.5
1995-07-01,54.6
1995-10-01,55.8
1996-01-01,58.5
1996-04-01,60.4
1996-07-01,61.3
1996-10-01,65.2
1997-01-01,67.3
1997-04-01,70.8
1997-07-01,72.8
1997-10-01,73.8
1998-01-01,75.0
1998-04-01,78.4
1998-07-01,78.8
1998-10-01,80.0
1999-01-01,78.1
1999-04-01,79.0
1999-07-01,79.9
1999-10-01,81.3
2000-01-01,80.4
2000-04-01,82.2
2000-07-01,84.0
2000-10-01,86.0
2001-01-01,87.3
2001-04-01,87.6
2001-07-01,86.8
2001-10-01,89.8
2002-01-01,93.9
2002-04-01,94.9
2002-07-01,94.8
2002-10-01,97.0
2003-01-01,98.8
2003-04-01,100.1
2003-07-01,101.9
2003-10-01,107.7
2004-01-01,115.0
2004-04-01,117.7
2004-07-01,115.7
2004-10-01,125.2
2005-01-01,125.8
2005-04-01,121.5
2005-07-01,127.9
2005-10-01,138.7
2006-01-01,142.2
2006-04-01,147.1
2006-07-01,147.3
2006-10-01,166.6
2007-01-01,171.5
2007-04-01,182.3
2007-07-01,188.6
2007-10-01,193.0
2008-01-01,193.1
2008-04-01,205.9
2008-07-01,202.0
2008-10-01,208.2
2009-01-01,208.7
2009-04-01,207.6
2009-07-01,208.3
2009-10-01,219.1
2010-01-01,210.4
2010-04-01,216.9
2010-07-01,232.6
2010-10-01,246.8
2011-01-01,241.4
2011-04-01,248.7
2011-07-01,255.9
2011-10-01,251.6
2012-01-01,259.4
2012-04-01,262.1
2012-07-01,261.3
2012-10-01,271.5
2013-01-01,280.0
2013-04-01,283.1
2013-07-01,287.4
2013-10-01,295.0
2014-01-01,304.1
2014-04-01,314.7
2014-07-01,308.0
2014-10-01,317.3
2015-01-01,321.0
2015-04-01,313.7
2015-07-01,308.9
2015-10-01,313.0
2016-01-01,314.8
2016-04-01,319.0
